===========configuration loading success==========
===================configuration===================
learning rate :  0.001
observation hour [7,19]
observation threshold :  2520
prediction time :  86400
cascade length [10,100]
model save at : ../model_save/topolstm/citation2/
===================configuration===================
# Epochs:0
Train Loss MSEL:2.408301, Val Loss MSEL:1.829369, Test Loss MSEL:1.872837,
Train Loss mSEL:0.974068, Val Loss mSEL:0.796614, Test Loss mSEL:0.781078,
Train acc:0.305692, Val acc:0.350602, Test acc:0.345101,
Train Loss mape:0.438673, Val Loss mape:0.421032, Test Loss mape:0.427252,

# Epochs:1
Train Loss MSEL:1.772740, Val Loss MSEL:1.707440, Test Loss MSEL:1.759282,
Train Loss mSEL:0.732567, Val Loss mSEL:0.727784, Test Loss mSEL:0.729752,
Train acc:0.368669, Val acc:0.376901, Test acc:0.371699,
Train Loss mape:0.430495, Val Loss mape:0.430521, Test Loss mape:0.437901,

# Epochs:2
Train Loss MSEL:1.704878, Val Loss MSEL:1.746817, Test Loss MSEL:1.796074,
Train Loss mSEL:0.714695, Val Loss mSEL:0.776786, Test Loss mSEL:0.775124,
Train acc:0.385499, Val acc:0.351591, Test acc:0.346054,
Train Loss mape:0.437107, Val Loss mape:0.420039, Test Loss mape:0.425114,

# Epochs:3
Train Loss MSEL:1.691694, Val Loss MSEL:1.680357, Test Loss MSEL:1.739527,
Train Loss mSEL:0.719668, Val Loss mSEL:0.721215, Test Loss mSEL:0.739030,
Train acc:0.388294, Val acc:0.379644, Test acc:0.376384,
Train Loss mape:0.441510, Val Loss mape:0.439763, Test Loss mape:0.447537,

# Epochs:4
Train Loss MSEL:1.680297, Val Loss MSEL:1.668251, Test Loss MSEL:1.733787,
Train Loss mSEL:0.714303, Val Loss mSEL:0.719942, Test Loss mSEL:0.738478,
Train acc:0.389910, Val acc:0.389963, Test acc:0.388056,
Train Loss mape:0.443462, Val Loss mape:0.449659, Test Loss mape:0.457538,

# Epochs:5
Train Loss MSEL:1.683422, Val Loss MSEL:1.817390, Test Loss MSEL:1.891107,
Train Loss mSEL:0.717290, Val Loss mSEL:0.686364, Test Loss mSEL:0.748292,
Train acc:0.393742, Val acc:0.413057, Test acc:0.402027,
Train Loss mape:0.445094, Val Loss mape:0.491917, Test Loss mape:0.501667,

# Epochs:6
Train Loss MSEL:1.680333, Val Loss MSEL:1.716726, Test Loss MSEL:1.777599,
Train Loss mSEL:0.710448, Val Loss mSEL:0.678562, Test Loss mSEL:0.715639,
Train acc:0.394067, Val acc:0.412603, Test acc:0.406798,
Train Loss mape:0.445382, Val Loss mape:0.475219, Test Loss mape:0.482417,

# Epochs:7
Train Loss MSEL:1.677607, Val Loss MSEL:1.665554, Test Loss MSEL:1.726631,
Train Loss mSEL:0.712121, Val Loss mSEL:0.710087, Test Loss mSEL:0.735149,
Train acc:0.394409, Val acc:0.395988, Test acc:0.396500,
Train Loss mape:0.445719, Val Loss mape:0.454900, Test Loss mape:0.463264,

# Epochs:8
Train Loss MSEL:1.680033, Val Loss MSEL:1.670982, Test Loss MSEL:1.727291,
Train Loss mSEL:0.709024, Val Loss mSEL:0.753981, Test Loss mSEL:0.761315,
Train acc:0.395106, Val acc:0.375847, Test acc:0.372153,
Train Loss mape:0.447318, Val Loss mape:0.439001, Test Loss mape:0.445692,

# Epochs:9
Train Loss MSEL:1.687465, Val Loss MSEL:1.665515, Test Loss MSEL:1.725547,
Train Loss mSEL:0.715750, Val Loss mSEL:0.719662, Test Loss mSEL:0.746921,
Train acc:0.391636, Val acc:0.385025, Test acc:0.382675,
Train Loss mape:0.447014, Val Loss mape:0.446447, Test Loss mape:0.453774,

# Epochs:10
Train Loss MSEL:1.679541, Val Loss MSEL:1.685330, Test Loss MSEL:1.749184,
Train Loss mSEL:0.712853, Val Loss mSEL:0.681401, Test Loss mSEL:0.720317,
Train acc:0.395205, Val acc:0.406845, Test acc:0.401991,
Train Loss mape:0.446911, Val Loss mape:0.466898, Test Loss mape:0.474422,

# Epochs:11
Train Loss MSEL:1.672647, Val Loss MSEL:1.679226, Test Loss MSEL:1.738931,
Train Loss mSEL:0.706180, Val Loss mSEL:0.749860, Test Loss mSEL:0.760538,
Train acc:0.395672, Val acc:0.368559, Test acc:0.368180,
Train Loss mape:0.447563, Val Loss mape:0.432794, Test Loss mape:0.439520,

# Epochs:12
Train Loss MSEL:1.671991, Val Loss MSEL:1.690868, Test Loss MSEL:1.752599,
Train Loss mSEL:0.713655, Val Loss mSEL:0.766215, Test Loss mSEL:0.771164,
Train acc:0.395058, Val acc:0.362842, Test acc:0.361245,
Train Loss mape:0.445579, Val Loss mape:0.431963, Test Loss mape:0.437951,

# Epochs:13
Train Loss MSEL:1.676880, Val Loss MSEL:1.664385, Test Loss MSEL:1.720670,
Train Loss mSEL:0.716179, Val Loss mSEL:0.727421, Test Loss mSEL:0.736753,
Train acc:0.392421, Val acc:0.387347, Test acc:0.384147,
Train Loss mape:0.446937, Val Loss mape:0.448076, Test Loss mape:0.454714,

# Epochs:14
Train Loss MSEL:1.672992, Val Loss MSEL:1.662562, Test Loss MSEL:1.725310,
Train Loss mSEL:0.713812, Val Loss mSEL:0.714427, Test Loss mSEL:0.745525,
Train acc:0.396631, Val acc:0.390731, Test acc:0.386158,
