===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  3600
prediction time :  86400
cascade length [5,100]
model save at : ../model_save/topolstm/weibo1/
===================configuration===================
# Epochs:0
# Epochs:18
Train Loss MSEL:2.774724, Val Loss MSEL:2.899178, Test Loss MSEL:2.699227,
Train Loss mSEL:0.684569, Val Loss mSEL:0.763695, Test Loss mSEL:0.718074,
Train acc:0.491442, Val acc:0.467651, Test acc:0.482178,
Train Loss mape:19.592216, Val Loss mape:20.152580, Test Loss mape:18.034130,

# Epochs:19
Train Loss MSEL:2.762120, Val Loss MSEL:2.958486, Test Loss MSEL:2.656990,
Train Loss mSEL:0.687603, Val Loss mSEL:0.764315, Test Loss mSEL:0.715096,
Train acc:0.491658, Val acc:0.465030, Test acc:0.486142,
Train Loss mape:19.444714, Val Loss mape:21.152336, Test Loss mape:17.587059,

# Epochs:20
Train Loss MSEL:2.765779, Val Loss MSEL:2.852712, Test Loss MSEL:2.711419,
Train Loss mSEL:0.689111, Val Loss mSEL:0.740206, Test Loss mSEL:0.704235,
Train acc:0.490479, Val acc:0.473720, Test acc:0.484695,
Train Loss mape:19.502346, Val Loss mape:19.600075, Test Loss mape:18.594421,

# Epochs:21
Train Loss MSEL:2.786582, Val Loss MSEL:2.896444, Test Loss MSEL:2.690786,
Train Loss mSEL:0.698171, Val Loss mSEL:0.698840, Test Loss mSEL:0.678291,
Train acc:0.486266, Val acc:0.484730, Test acc:0.494263,
Train Loss mape:19.452183, Val Loss mape:21.088255, Test Loss mape:19.024475,

# Epochs:22
Train Loss MSEL:2.785075, Val Loss MSEL:2.870502, Test Loss MSEL:2.688652,
Train Loss mSEL:0.693232, Val Loss mSEL:0.703660, Test Loss mSEL:0.676878,
Train acc:0.488460, Val acc:0.481631, Test acc:0.491542,
Train Loss mape:19.627499, Val Loss mape:21.082104, Test Loss mape:18.830923,

# Epochs:23
Train Loss MSEL:2.763842, Val Loss MSEL:2.946729, Test Loss MSEL:2.818248,
Train Loss mSEL:0.684023, Val Loss mSEL:0.898869, Test Loss mSEL:0.871215,
Train acc:0.491443, Val acc:0.432483, Test acc:0.441604,
Train Loss mape:19.527531, Val Loss mape:18.299076, Test Loss mape:17.131475,

# Epochs:24
Train Loss MSEL:2.791546, Val Loss MSEL:2.873765, Test Loss MSEL:2.672802,
Train Loss mSEL:0.704640, Val Loss mSEL:0.760463, Test Loss mSEL:0.719397,
Train acc:0.483847, Val acc:0.462298, Test acc:0.481666,
Train Loss mape:19.468498, Val Loss mape:19.827343, Test Loss mape:17.511112,

# Epochs:25
Train Loss MSEL:2.758722, Val Loss MSEL:2.849751, Test Loss MSEL:2.715412,
Train Loss mSEL:0.681839, Val Loss mSEL:0.700222, Test Loss mSEL:0.685008,
Train acc:0.493565, Val acc:0.486938, Test acc:0.494763,
Train Loss mape:19.483753, Val Loss mape:20.837284, Test Loss mape:19.545877,

# Epochs:26
Train Loss MSEL:2.757149, Val Loss MSEL:2.907078, Test Loss MSEL:2.701419,
Train Loss mSEL:0.687057, Val Loss mSEL:0.761067, Test Loss mSEL:0.723739,
Train acc:0.492417, Val acc:0.462234, Test acc:0.480690,
Train Loss mape:19.548672, Val Loss mape:20.907093, Test Loss mape:17.566492,

# Epochs:27
Train Loss MSEL:2.762352, Val Loss MSEL:2.852147, Test Loss MSEL:2.656126,
Train Loss mSEL:0.688687, Val Loss mSEL:0.731216, Test Loss mSEL:0.687140,
Train acc:0.492039, Val acc:0.479591, Test acc:0.488892,
Train Loss mape:19.540815, Val Loss mape:20.324017, Test Loss mape:18.105095,

# Epochs:28
Train Loss MSEL:2.768404, Val Loss MSEL:2.910343, Test Loss MSEL:2.722799,
Train Loss mSEL:0.686746, Val Loss mSEL:0.821466, Test Loss mSEL:0.778217,
Train acc:0.492001, Val acc:0.448574, Test acc:0.462867,
Train Loss mape:19.535429, Val Loss mape:19.045033, Test Loss mape:17.319010,

# Epochs:29
Train Loss MSEL:2.769894, Val Loss MSEL:2.869453, Test Loss MSEL:2.661935,
Train Loss mSEL:0.685280, Val Loss mSEL:0.715223, Test Loss mSEL:0.676043,
Train acc:0.491616, Val acc:0.482521, Test acc:0.489490,
Train Loss mape:19.565641, Val Loss mape:21.009577, Test Loss mape:18.339783,

# Epochs:30
Train Loss MSEL:2.764748, Val Loss MSEL:2.930251, Test Loss MSEL:2.695892,
Train Loss mSEL:0.690762, Val Loss mSEL:0.775200, Test Loss mSEL:0.744826,
Train acc:0.489697, Val acc:0.459072, Test acc:0.475673,
Train Loss mape:19.496725, Val Loss mape:19.933857, Test Loss mape:17.102526,

# Epochs:31
Train Loss MSEL:2.761165, Val Loss MSEL:2.856188, Test Loss MSEL:2.679678,
Train Loss mSEL:0.692472, Val Loss mSEL:0.755360, Test Loss mSEL:0.717089,
Train acc:0.489171, Val acc:0.465628, Test acc:0.486863,
Train Loss mape:19.430574, Val Loss mape:19.365297, Test Loss mape:18.166779,

# Epochs:32
Train Loss MSEL:2.756161, Val Loss MSEL:2.856249, Test Loss MSEL:2.715625,
Train Loss mSEL:0.681976, Val Loss mSEL:0.764862, Test Loss mSEL:0.732649,
Train acc:0.492095, Val acc:0.463757, Test acc:0.478370,
Train Loss mape:19.499630, Val Loss mape:19.200314, Test Loss mape:17.929495,

# Epochs:33
Train Loss MSEL:2.756559, Val Loss MSEL:2.854971, Test Loss MSEL:2.663784,
Train Loss mSEL:0.684223, Val Loss mSEL:0.711142, Test Loss mSEL:0.679282,
Train acc:0.493783, Val acc:0.483643, Test acc:0.493199,
Train Loss mape:19.532528, Val Loss mape:20.395702, Test Loss mape:18.670713,

# Epochs:34
Train Loss MSEL:2.746655, Val Loss MSEL:2.841084, Test Loss MSEL:2.715605,
Train Loss mSEL:0.687329, Val Loss mSEL:0.719546, Test Loss mSEL:0.678490,
Train acc:0.492713, Val acc:0.481056, Test acc:0.487014,
Train Loss mape:19.413153, Val Loss mape:20.314745, Test Loss mape:19.630173,

# Epochs:35
Train Loss MSEL:2.753412, Val Loss MSEL:2.838456, Test Loss MSEL:2.657207,
