===========configuration loading success==========
===================configuration===================
learning rate :  0.001
observation hour [7,19]
observation threshold :  3240
prediction time :  86400
cascade length [10,100]
model save at : ../model_save/topolstm/citation3/
===================configuration===================
# Epochs:0
Train Loss MSEL:1.622793, Val Loss MSEL:1.673241, Test Loss MSEL:1.639070,
Train Loss mSEL:0.679825, Val Loss mSEL:0.795497, Test Loss mSEL:0.787642,
Train acc:0.341699, Val acc:0.299408, Test acc:0.293743,
Train Loss mape:0.465890, Val Loss mape:0.442859, Test Loss mape:0.437572,

# Epochs:19
Train Loss MSEL:1.623137, Val Loss MSEL:1.614688, Test Loss MSEL:1.573284,
Train Loss mSEL:0.682563, Val Loss mSEL:0.699651, Test Loss mSEL:0.677893,
Train acc:0.342884, Val acc:0.332340, Test acc:0.335354,
Train Loss mape:0.466031, Val Loss mape:0.459434, Test Loss mape:0.453003,

# Epochs:20
Train Loss MSEL:1.619161, Val Loss MSEL:1.616524, Test Loss MSEL:1.569514,
Train Loss mSEL:0.675489, Val Loss mSEL:0.691516, Test Loss mSEL:0.661010,
Train acc:0.342594, Val acc:0.335320, Test acc:0.341446,
Train Loss mape:0.465162, Val Loss mape:0.463368, Test Loss mape:0.456374,

# Epochs:21
Train Loss MSEL:1.627871, Val Loss MSEL:1.641691, Test Loss MSEL:1.583902,
Train Loss mSEL:0.686743, Val Loss mSEL:0.661610, Test Loss mSEL:0.632420,
Train acc:0.343073, Val acc:0.358977, Test acc:0.364643,
Train Loss mape:0.465870, Val Loss mape:0.489847, Test Loss mape:0.480415,

# Epochs:22
Train Loss MSEL:1.631867, Val Loss MSEL:1.618541, Test Loss MSEL:1.573922,
Train Loss mSEL:0.681654, Val Loss mSEL:0.703154, Test Loss mSEL:0.677281,
Train acc:0.340403, Val acc:0.329350, Test acc:0.333262,
Train Loss mape:0.466176, Val Loss mape:0.458104, Test Loss mape:0.451343,

# Epochs:23
Train Loss MSEL:1.623677, Val Loss MSEL:1.612033, Test Loss MSEL:1.569596,
Train Loss mSEL:0.677306, Val Loss mSEL:0.700220, Test Loss mSEL:0.677013,
Train acc:0.342641, Val acc:0.331633, Test acc:0.336524,
Train Loss mape:0.466868, Val Loss mape:0.459047, Test Loss mape:0.452758,

# Epochs:24
Train Loss MSEL:1.618117, Val Loss MSEL:1.630438, Test Loss MSEL:1.586920,
Train Loss mSEL:0.672186, Val Loss mSEL:0.743695, Test Loss mSEL:0.719388,
Train acc:0.342785, Val acc:0.318288, Test acc:0.320083,
Train Loss mape:0.465341, Val Loss mape:0.450436, Test Loss mape:0.443789,

# Epochs:25
Train Loss MSEL:1.623493, Val Loss MSEL:1.630276, Test Loss MSEL:1.578104,
Train Loss mSEL:0.684357, Val Loss mSEL:0.662323, Test Loss mSEL:0.634400,
Train acc:0.343255, Val acc:0.355351, Test acc:0.360922,
Train Loss mape:0.465723, Val Loss mape:0.482465, Test Loss mape:0.474680,

# Epochs:26
Train Loss MSEL:1.618414, Val Loss MSEL:1.625743, Test Loss MSEL:1.580289,
Train Loss mSEL:0.673752, Val Loss mSEL:0.716494, Test Loss mSEL:0.691916,
Train acc:0.343679, Val acc:0.327888, Test acc:0.332431,
Train Loss mape:0.465312, Val Loss mape:0.458054, Test Loss mape:0.451024,

# Epochs:27
Train Loss MSEL:1.623006, Val Loss MSEL:1.612319, Test Loss MSEL:1.569479,
Train Loss mSEL:0.682017, Val Loss mSEL:0.703598, Test Loss mSEL:0.669259,
Train acc:0.343214, Val acc:0.332450, Test acc:0.336623,
Train Loss mape:0.465655, Val Loss mape:0.459472, Test Loss mape:0.452489,

# Epochs:28
Train Loss MSEL:1.622676, Val Loss MSEL:1.629151, Test Loss MSEL:1.577409,
Train Loss mSEL:0.681205, Val Loss mSEL:0.656434, Test Loss mSEL:0.625635,
Train acc:0.342490, Val acc:0.358709, Test acc:0.365160,
Train Loss mape:0.464862, Val Loss mape:0.486165, Test Loss mape:0.477834,

# Epochs:29
Train Loss MSEL:1.622700, Val Loss MSEL:1.619617, Test Loss MSEL:1.579038,
Train Loss mSEL:0.673289, Val Loss mSEL:0.717067, Test Loss mSEL:0.686337,
Train acc:0.341685, Val acc:0.326209, Test acc:0.328698,
Train Loss mape:0.465859, Val Loss mape:0.454597, Test Loss mape:0.448086,

# Epochs:30
Train Loss MSEL:1.621923, Val Loss MSEL:1.611205, Test Loss MSEL:1.561054,
Train Loss mSEL:0.683158, Val Loss mSEL:0.672692, Test Loss mSEL:0.647917,
Train acc:0.341401, Val acc:0.343679, Test acc:0.350153,
Train Loss mape:0.465309, Val Loss mape:0.468014, Test Loss mape:0.460193,

# Epochs:31
Train Loss MSEL:1.618557, Val Loss MSEL:1.625418, Test Loss MSEL:1.571269,
Train Loss mSEL:0.680104, Val Loss mSEL:0.660490, Test Loss mSEL:0.632869,
Train acc:0.342865, Val acc:0.354587, Test acc:0.361381,
Train Loss mape:0.465440, Val Loss mape:0.481453, Test Loss mape:0.473103,

# Epochs:32
Train Loss MSEL:1.625172, Val Loss MSEL:1.619477, Test Loss MSEL:1.579822,
Train Loss mSEL:0.682504, Val Loss mSEL:0.719944, Test Loss mSEL:0.696613,
Train acc:0.340480, Val acc:0.324689, Test acc:0.326634,
Train Loss mape:0.465148, Val Loss mape:0.454229, Test Loss mape:0.447831,

# Epochs:33
Train Loss MSEL:1.622035, Val Loss MSEL:1.609315, Test Loss MSEL:1.561611,
Train Loss mSEL:0.683973, Val Loss mSEL:0.686235, Test Loss mSEL:0.657004,
Train acc:0.343436, Val acc:0.339719, Test acc:0.347362,
Train Loss mape:0.465326, Val Loss mape:0.465063, Test Loss mape:0.457947,

# Epochs:34
Train Loss MSEL:1.611691, Val Loss MSEL:1.611446, Test Loss MSEL:1.562273,
Train Loss mSEL:0.681243, Val Loss mSEL:0.674899, Test Loss mSEL:0.640424,
Train acc:0.343796, Val acc:0.346773, Test acc:0.352710,
Train Loss mape:0.464395, Val Loss mape:0.470231, Test Loss mape:0.462499,

# Epochs:35
Train Loss MSEL:1.614307, Val Loss MSEL:1.609199, Test Loss MSEL:1.565053,
Train Loss mSEL:0.677827, Val Loss mSEL:0.685407, Test Loss mSEL:0.658648,
Train acc:0.342930, Val acc:0.339393, Test acc:0.344497,
Train Loss mape:0.464286, Val Loss mape:0.464355, Test Loss mape:0.457755,

# Epochs:36
Train Loss MSEL:1.618659, Val Loss MSEL:1.639574, Test Loss MSEL:1.583554,
Train Loss mSEL:0.690053, Val Loss mSEL:0.657200, Test Loss mSEL:0.631438,
Train acc:0.342660, Val acc:0.359632, Test acc:0.363762,
Train Loss mape:0.464339, Val Loss mape:0.488233, Test Loss mape:0.480121,

# Epochs:37
Train Loss MSEL:1.619501, Val Loss MSEL:1.653675, Test Loss MSEL:1.618594,
Train Loss mSEL:0.683947, Val Loss mSEL:0.786611, Test Loss mSEL:0.768648,
Train acc:0.341464, Val acc:0.309337, Test acc:0.301568,
Train Loss mape:0.465126, Val Loss mape:0.443190, Test Loss mape:0.438259,

# Epochs:38
Train Loss MSEL:1.621814, Val Loss MSEL:1.608113, Test Loss MSEL:1.560321,
Train Loss mSEL:0.678971, Val Loss mSEL:0.677524, Test Loss mSEL:0.644986,
Train acc:0.340919, Val acc:0.344927, Test acc:0.350301,
Train Loss mape:0.465839, Val Loss mape:0.467806, Test Loss mape:0.460713,

# Epochs:39
Train Loss MSEL:1.609045, Val Loss MSEL:1.613297, Test Loss MSEL:1.570926,
Train Loss mSEL:0.672609, Val Loss mSEL:0.709002, Test Loss mSEL:0.679675,
Train acc:0.344707, Val acc:0.332016, Test acc:0.333078,
Train Loss mape:0.463692, Val Loss mape:0.458041, Test Loss mape:0.451394,

# BEST, Val Loss MSEL:1.608113, Test Loss MSEL:1.560321,
