===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  3960
prediction time :  86400
cascade length [5,100]
model save at : ../model_save/topolstm/citation4/
===================configuration===================
# Epochs:0
Train Loss MSEL:3.685036, Val Loss MSEL:2.872586, Test Loss MSEL:2.850362,
Train Loss mSEL:1.836843, Val Loss mSEL:1.606452, Test Loss mSEL:1.596409,
Train acc:0.185302, Val acc:0.188737, Test acc:0.187119,
Train Loss mape:0.524329, Val Loss mape:0.504772, Test Loss mape:0.508513,

# Epochs:1
Train Loss MSEL:2.707473, Val Loss MSEL:2.596928, Test Loss MSEL:2.583889,
Train Loss mSEL:1.362999, Val Loss mSEL:1.311173, Test Loss mSEL:1.317017,
Train acc:0.214477, Val acc:0.221720, Test acc:0.222078,
Train Loss mape:0.511733, Val Loss mape:0.512365, Test Loss mape:0.517725,

# Epochs:2
Train Loss MSEL:2.543094, Val Loss MSEL:2.485499, Test Loss MSEL:2.470772,
Train Loss mSEL:1.225468, Val Loss mSEL:1.241140, Test Loss mSEL:1.251428,
Train acc:0.233016, Val acc:0.224020, Test acc:0.227464,
Train Loss mape:0.512016, Val Loss mape:0.505664, Test Loss mape:0.510805,

# Epochs:3
Train Loss MSEL:2.441858, Val Loss MSEL:2.394761, Test Loss MSEL:2.382456,
Train Loss mSEL:1.163829, Val Loss mSEL:1.187238, Test Loss mSEL:1.200910,
Train acc:0.243265, Val acc:0.237461, Test acc:0.236317,
Train Loss mape:0.510794, Val Loss mape:0.504932, Test Loss mape:0.510228,

# Epochs:4
Train Loss MSEL:2.358173, Val Loss MSEL:2.341468, Test Loss MSEL:2.333108,
Train Loss mSEL:1.110363, Val Loss mSEL:1.172733, Test Loss mSEL:1.191910,
Train acc:0.249876, Val acc:0.233219, Test acc:0.235022,
Train Loss mape:0.508068, Val Loss mape:0.494399, Test Loss mape:0.498539,

# Epochs:5
Train Loss MSEL:2.292246, Val Loss MSEL:2.289142, Test Loss MSEL:2.283424,
Train Loss mSEL:1.087661, Val Loss mSEL:1.131763, Test Loss mSEL:1.150580,
Train acc:0.256194, Val acc:0.240408, Test acc:0.240847,
Train Loss mape:0.507395, Val Loss mape:0.493397, Test Loss mape:0.498823,

# Epochs:6
Train Loss MSEL:2.247014, Val Loss MSEL:2.250937, Test Loss MSEL:2.249632,
Train Loss mSEL:1.060397, Val Loss mSEL:1.109304, Test Loss mSEL:1.143955,
Train acc:0.261996, Val acc:0.242188, Test acc:0.238570,
Train Loss mape:0.506955, Val Loss mape:0.490176, Test Loss mape:0.495697,

# Epochs:7
Train Loss MSEL:2.213227, Val Loss MSEL:2.192266, Test Loss MSEL:2.199372,
Train Loss mSEL:1.041161, Val Loss mSEL:1.047291, Test Loss mSEL:1.073242,
Train acc:0.264547, Val acc:0.270883, Test acc:0.262482,
Train Loss mape:0.505268, Val Loss mape:0.514187, Test Loss mape:0.522476,

# Epochs:8
Train Loss MSEL:2.172016, Val Loss MSEL:2.167325, Test Loss MSEL:2.170868,
Train Loss mSEL:1.018589, Val Loss mSEL:1.036139, Test Loss mSEL:1.065113,
Train acc:0.271309, Val acc:0.262331, Test acc:0.262366,
Train Loss mape:0.505782, Val Loss mape:0.502580, Test Loss mape:0.509646,

# Epochs:9
Train Loss MSEL:2.146283, Val Loss MSEL:2.146135, Test Loss MSEL:2.154936,
Train Loss mSEL:0.997973, Val Loss mSEL:1.023545, Test Loss mSEL:1.049622,
Train acc:0.274757, Val acc:0.262019, Test acc:0.262331,
Train Loss mape:0.506397, Val Loss mape:0.499747, Test Loss mape:0.507316,

# Epochs:10
Train Loss MSEL:2.121299, Val Loss MSEL:2.126161, Test Loss MSEL:2.142202,
Train Loss mSEL:0.994564, Val Loss mSEL:0.987965, Test Loss mSEL:0.994382,
Train acc:0.277751, Val acc:0.287941, Test acc:0.279193,
Train Loss mape:0.504945, Val Loss mape:0.521331, Test Loss mape:0.531463,

# Epochs:11
Train Loss MSEL:2.102263, Val Loss MSEL:2.100713, Test Loss MSEL:2.116032,
Train Loss mSEL:0.974717, Val Loss mSEL:0.994375, Test Loss mSEL:1.009536,
Train acc:0.283690, Val acc:0.271242, Test acc:0.269554,
Train Loss mape:0.507486, Val Loss mape:0.502732, Test Loss mape:0.511271,

# Epochs:12
Train Loss MSEL:2.088179, Val Loss MSEL:2.083280, Test Loss MSEL:2.106855,
Train Loss mSEL:0.974161, Val Loss mSEL:0.973492, Test Loss mSEL:0.966247,
Train acc:0.283530, Val acc:0.289906, Test acc:0.282302,
Train Loss mape:0.505774, Val Loss mape:0.514752, Test Loss mape:0.524204,

# Epochs:13
Train Loss MSEL:2.071544, Val Loss MSEL:2.071698, Test Loss MSEL:2.090688,
Train Loss mSEL:0.951022, Val Loss mSEL:0.964818, Test Loss mSEL:0.976766,
Train acc:0.287339, Val acc:0.286589, Test acc:0.280464,
Train Loss mape:0.507504, Val Loss mape:0.508835, Test Loss mape:0.517677,

# Epochs:14
Train Loss MSEL:2.056976, Val Loss MSEL:2.081999, Test Loss MSEL:2.097728,
Train Loss mSEL:0.944362, Val Loss mSEL:0.999709, Test Loss mSEL:1.010310,
Train acc:0.289437, Val acc:0.260944, Test acc:0.264446,
Train Loss mape:0.507527, Val Loss mape:0.489246, Test Loss mape:0.496472,

# Epochs:15
Train Loss MSEL:2.049511, Val Loss MSEL:2.054606, Test Loss MSEL:2.077405,
Train Loss mSEL:0.942804, Val Loss mSEL:0.952323, Test Loss mSEL:0.971902,
Train acc:0.288995, Val acc:0.281816, Test acc:0.278915,
Train Loss mape:0.506597, Val Loss mape:0.502829, Test Loss mape:0.512519,

# Epochs:16
Train Loss MSEL:2.038112, Val Loss MSEL:2.045413, Test Loss MSEL:2.064807,
Train Loss mSEL:0.931655, Val Loss mSEL:0.949579, Test Loss mSEL:0.961375,
Train acc:0.292076, Val acc:0.284486, Test acc:0.279794,
Train Loss mape:0.507907, Val Loss mape:0.502835, Test Loss mape:0.511371,

# Epochs:17
Train Loss MSEL:2.030344, Val Loss MSEL:2.041123, Test Loss MSEL:2.063880,
Train Loss mSEL:0.926511, Val Loss mSEL:0.947374, Test Loss mSEL:0.963930,
Train acc:0.294368, Val acc:0.279343, Test acc:0.276246,
Train Loss mape:0.508480, Val Loss mape:0.498799, Test Loss mape:0.507181,

# Epochs:18
Train Loss MSEL:2.021483, Val Loss MSEL:2.023537, Test Loss MSEL:2.053304,
Train Loss mSEL:0.921189, Val Loss mSEL:0.928532, Test Loss mSEL:0.951038,
Train acc:0.297192, Val acc:0.298273, Test acc:0.289999,
Train Loss mape:0.507239, Val Loss mape:0.511960, Test Loss mape:0.521949,

# Epochs:19
Train Loss MSEL:2.012517, Val Loss MSEL:2.019756, Test Loss MSEL:2.044289,
Train Loss mSEL:0.913504, Val Loss mSEL:0.932412, Test Loss mSEL:0.954022,
Train acc:0.297395, Val acc:0.294402, Test acc:0.283827,
Train Loss mape:0.507748, Val Loss mape:0.504881, Test Loss mape:0.514315,

# Epochs:20
Train Loss MSEL:2.007651, Val Loss MSEL:2.014667, Test Loss MSEL:2.040177,
