===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  7200
prediction time :  86400
cascade length [5,100]
model save at : ../model_save/topolstm/weibo2/
===================configuration===================
# Epochs:0
Train Loss MSEL:5.227280, Val Loss MSEL:4.741726, Test Loss MSEL:4.621603,
Train Loss mSEL:2.578001, Val Loss mSEL:2.121278, Test Loss mSEL:2.122929,
Train acc:0.158681, Val acc:0.198018, Test acc:0.194940,
Train Loss mape:18.853975, Val Loss mape:22.563971, Test Loss mape:20.937815,

# Epochs:1
Train Loss MSEL:4.284818, Val Loss MSEL:3.949744, Test Loss MSEL:3.952087,
Train Loss mSEL:1.966192, Val Loss mSEL:1.723616, Test Loss mSEL:1.736526,
Train acc:0.202350, Val acc:0.223826, Test acc:0.220079,
Train Loss mape:20.193422, Val Loss mape:21.698895, Test Loss mape:19.752958,

# Epochs:2
Train Loss MSEL:3.788946, Val Loss MSEL:3.776810, Test Loss MSEL:3.533305,
Train Loss mSEL:1.506322, Val Loss mSEL:1.317429, Test Loss mSEL:1.290698,
Train acc:0.246125, Val acc:0.266262, Test acc:0.269827,
Train Loss mape:20.810030, Val Loss mape:23.580173, Test Loss mape:20.478622,

# Epochs:3
Train Loss MSEL:3.417074, Val Loss MSEL:3.305589, Test Loss MSEL:3.305532,
Train Loss mSEL:1.204207, Val Loss mSEL:1.024164, Test Loss mSEL:1.025980,
Train acc:0.286633, Val acc:0.324731, Test acc:0.326391,
Train Loss mape:21.399685, Val Loss mape:24.933554, Test Loss mape:24.124233,

# Epochs:4
Train Loss MSEL:3.149777, Val Loss MSEL:3.059577, Test Loss MSEL:3.029791,
Train Loss mSEL:1.018047, Val Loss mSEL:1.020281, Test Loss mSEL:1.035717,
Train acc:0.330811, Val acc:0.315508, Test acc:0.306958,
Train Loss mape:21.984688, Val Loss mape:22.104740, Test Loss mape:20.446457,

# Epochs:5
Train Loss MSEL:2.972387, Val Loss MSEL:2.880563, Test Loss MSEL:2.782748,
Train Loss mSEL:0.870014, Val Loss mSEL:0.825390, Test Loss mSEL:0.819806,
Train acc:0.370533, Val acc:0.377924, Test acc:0.379470,
Train Loss mape:22.430948, Val Loss mape:23.727905, Test Loss mape:21.409807,

# Epochs:6
Train Loss MSEL:2.848982, Val Loss MSEL:2.760037, Test Loss MSEL:2.940094,
Train Loss mSEL:0.794129, Val Loss mSEL:0.777040, Test Loss mSEL:0.783597,
Train acc:0.395075, Val acc:0.407096, Test acc:0.394914,
Train Loss mape:22.797323, Val Loss mape:24.366186, Test Loss mape:23.094986,

# Epochs:7
Train Loss MSEL:2.771787, Val Loss MSEL:2.758000, Test Loss MSEL:2.820678,
Train Loss mSEL:0.762000, Val Loss mSEL:0.802560, Test Loss mSEL:0.813056,
Train acc:0.409988, Val acc:0.403451, Test acc:0.385750,
Train Loss mape:23.071802, Val Loss mape:24.154736, Test Loss mape:22.125511,

# Epochs:8
Train Loss MSEL:2.753759, Val Loss MSEL:2.684675, Test Loss MSEL:2.614502,
Train Loss mSEL:0.732111, Val Loss mSEL:0.675660, Test Loss mSEL:0.695071,
Train acc:0.424191, Val acc:0.436362, Test acc:0.439874,
Train Loss mape:23.284426, Val Loss mape:24.810947, Test Loss mape:23.246660,

# Epochs:9
Train Loss MSEL:2.710291, Val Loss MSEL:2.687567, Test Loss MSEL:2.623864,
Train Loss mSEL:0.701209, Val Loss mSEL:0.669108, Test Loss mSEL:0.673344,
Train acc:0.432105, Val acc:0.451172, Test acc:0.443463,
Train Loss mape:23.507629, Val Loss mape:25.952106, Test Loss mape:24.776176,

# Epochs:10
Train Loss MSEL:2.702491, Val Loss MSEL:2.672501, Test Loss MSEL:2.617853,
Train Loss mSEL:0.700796, Val Loss mSEL:0.671383, Test Loss mSEL:0.682257,
Train acc:0.435480, Val acc:0.452091, Test acc:0.444497,
Train Loss mape:23.627125, Val Loss mape:26.254557, Test Loss mape:23.718725,

# Epochs:11
Train Loss MSEL:2.678992, Val Loss MSEL:2.641761, Test Loss MSEL:2.635413,
Train Loss mSEL:0.694818, Val Loss mSEL:0.698324, Test Loss mSEL:0.698136,
Train acc:0.435008, Val acc:0.440602, Test acc:0.429934,
Train Loss mape:23.689648, Val Loss mape:25.164572, Test Loss mape:24.250811,

# Epochs:12
Train Loss MSEL:2.691580, Val Loss MSEL:2.832364, Test Loss MSEL:2.735071,
Train Loss mSEL:0.709959, Val Loss mSEL:0.712046, Test Loss mSEL:0.717164,
Train acc:0.433629, Val acc:0.440999, Test acc:0.440980,
Train Loss mape:23.734398, Val Loss mape:28.666737, Test Loss mape:25.445496,

# Epochs:13
Train Loss MSEL:2.687524, Val Loss MSEL:2.844150, Test Loss MSEL:2.781016,
Train Loss mSEL:0.712825, Val Loss mSEL:0.724218, Test Loss mSEL:0.723575,
Train acc:0.432548, Val acc:0.439766, Test acc:0.435563,
Train Loss mape:23.857615, Val Loss mape:28.158928, Test Loss mape:25.432032,

# Epochs:14
Train Loss MSEL:2.703631, Val Loss MSEL:2.697103, Test Loss MSEL:2.634891,
Train Loss mSEL:0.723230, Val Loss mSEL:0.739978, Test Loss mSEL:0.752139,
Train acc:0.428064, Val acc:0.419233, Test acc:0.410381,
Train Loss mape:23.860312, Val Loss mape:23.878952, Test Loss mape:22.905169,

# Epochs:15
Train Loss MSEL:2.672875, Val Loss MSEL:2.659970, Test Loss MSEL:2.634994,
Train Loss mSEL:0.712930, Val Loss mSEL:0.718259, Test Loss mSEL:0.725320,
Train acc:0.432739, Val acc:0.426523, Test acc:0.427357,
Train Loss mape:23.923679, Val Loss mape:24.474356, Test Loss mape:23.745333,

# Epochs:16
Train Loss MSEL:2.667751, Val Loss MSEL:2.743235, Test Loss MSEL:2.620302,
Train Loss mSEL:0.715446, Val Loss mSEL:0.694529, Test Loss mSEL:0.705807,
Train acc:0.431638, Val acc:0.445051, Test acc:0.437330,
Train Loss mape:23.825047, Val Loss mape:26.734777, Test Loss mape:24.351225,

# Epochs:17
Train Loss MSEL:2.675575, Val Loss MSEL:2.653430, Test Loss MSEL:2.613185,
Train Loss mSEL:0.715198, Val Loss mSEL:0.693488, Test Loss mSEL:0.706375,
Train acc:0.431084, Val acc:0.440686, Test acc:0.437626,
Train Loss mape:23.908476, Val Loss mape:26.092087, Test Loss mape:24.766977,

# Epochs:18
Train Loss MSEL:2.675325, Val Loss MSEL:2.702948, Test Loss MSEL:2.597258,
Train Loss mSEL:0.719879, Val Loss mSEL:0.696345, Test Loss mSEL:0.703272,
Train acc:0.429789, Val acc:0.442680, Test acc:0.441302,
Train Loss mape:23.854269, Val Loss mape:26.999283, Test Loss mape:24.546944,

# Epochs:19
Train Loss MSEL:2.671239, Val Loss MSEL:2.655553, Test Loss MSEL:2.622089,
Train Loss mSEL:0.721530, Val Loss mSEL:0.713273, Test Loss mSEL:0.725941,
Train acc:0.430254, Val acc:0.438064, Test acc:0.428139,
Train Loss mape:23.921913, Val Loss mape:26.021133, Test Loss mape:24.778273,

# Epochs:20
Train Loss MSEL:2.669186, Val Loss MSEL:2.811967, Test Loss MSEL:2.780988,
Train Loss mSEL:0.716667, Val Loss mSEL:0.719681, Test Loss mSEL:0.707143,
Train acc:0.430411, Val acc:0.445229, Test acc:0.438414,
Train Loss mape:23.906622, Val Loss mape:28.225920, Test Loss mape:25.893799,

# Epochs:21
Train Loss MSEL:2.680807, Val Loss MSEL:2.680366, Test Loss MSEL:2.615268,
Train Loss mSEL:0.723452, Val Loss mSEL:0.745972, Test Loss mSEL:0.760972,
Train acc:0.429883, Val acc:0.414909, Test acc:0.407853,
Train Loss mape:23.931047, Val Loss mape:24.825518, Test Loss mape:22.667654,

# Epochs:22
Train Loss MSEL:2.667551, Val Loss MSEL:2.699486, Test Loss MSEL:2.594305,
Train Loss mSEL:0.715785, Val Loss mSEL:0.708178, Test Loss mSEL:0.720425,
Train acc:0.431150, Val acc:0.441552, Test acc:0.435902,
Train Loss mape:23.880259, Val Loss mape:25.506483, Test Loss mape:24.668291,

# Epochs:23
Train Loss MSEL:2.675773, Val Loss MSEL:2.643657, Test Loss MSEL:2.577739,
Train Loss mSEL:0.721925, Val Loss mSEL:0.700399, Test Loss mSEL:0.706838,
Train acc:0.429901, Val acc:0.440988, Test acc:0.435492,
Train Loss mape:23.944427, Val Loss mape:25.836750, Test Loss mape:23.914541,

# Epochs:24
Train Loss MSEL:2.660971, Val Loss MSEL:2.733623, Test Loss MSEL:2.589730,
Train Loss mSEL:0.715513, Val Loss mSEL:0.694596, Test Loss mSEL:0.706270,
Train acc:0.432275, Val acc:0.441636, Test acc:0.438983,
Train Loss mape:23.831858, Val Loss mape:28.848026, Test Loss mape:24.553698,

# Epochs:25
Train Loss MSEL:2.665174, Val Loss MSEL:2.699161, Test Loss MSEL:2.581587,
Train Loss mSEL:0.720574, Val Loss mSEL:0.691792, Test Loss mSEL:0.697098,
Train acc:0.430989, Val acc:0.440727, Test acc:0.441280,
Train Loss mape:23.891825, Val Loss mape:26.372301, Test Loss mape:23.874207,

# Epochs:26
Train Loss MSEL:2.662250, Val Loss MSEL:2.617852, Test Loss MSEL:2.571167,
Train Loss mSEL:0.717793, Val Loss mSEL:0.700227, Test Loss mSEL:0.709480,
Train acc:0.431772, Val acc:0.439954, Test acc:0.438293,
Train Loss mape:23.901344, Val Loss mape:25.455664, Test Loss mape:23.956995,

# Epochs:27
Train Loss MSEL:2.672138, Val Loss MSEL:2.626635, Test Loss MSEL:2.558071,
Train Loss mSEL:0.720077, Val Loss mSEL:0.691452, Test Loss mSEL:0.701627,
Train acc:0.430681, Val acc:0.443819, Test acc:0.440017,
Train Loss mape:23.790316, Val Loss mape:26.092281, Test Loss mape:23.801073,

# Epochs:28
Train Loss MSEL:2.671495, Val Loss MSEL:2.638655, Test Loss MSEL:2.609183,
Train Loss mSEL:0.717898, Val Loss mSEL:0.699834, Test Loss mSEL:0.706264,
Train acc:0.431961, Val acc:0.439610, Test acc:0.436182,
