===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  10800
prediction time :  86400
cascade length [5,100]
model save at : ../model_save/topolstm/weibo3/
===================configuration===================
# Epochs:0
Train Loss MSEL:4.993336, Val Loss MSEL:4.334132, Test Loss MSEL:4.237381,
Train Loss mSEL:2.327256, Val Loss mSEL:1.943331, Test Loss mSEL:2.011759,
Train acc:0.156291, Val acc:0.176161, Test acc:0.178409,
Train Loss mape:19.786299, Val Loss mape:22.269556, Test Loss mape:21.872660,

# Epochs:1
Train Loss MSEL:3.973793, Val Loss MSEL:3.892354, Test Loss MSEL:3.816027,
Train Loss mSEL:1.815125, Val Loss mSEL:1.737502, Test Loss mSEL:1.775867,
Train acc:0.186845, Val acc:0.190522, Test acc:0.191194,
Train Loss mape:21.566568, Val Loss mape:23.325699, Test Loss mape:23.249804,

# Epochs:2
Train Loss MSEL:3.611834, Val Loss MSEL:3.611439, Test Loss MSEL:3.527562,
Train Loss mSEL:1.621967, Val Loss mSEL:1.449809, Test Loss mSEL:1.498281,
Train acc:0.204250, Val acc:0.230772, Test acc:0.229470,
Train Loss mape:22.527620, Val Loss mape:24.943867, Test Loss mape:24.993311,

# Epochs:3
Train Loss MSEL:3.341625, Val Loss MSEL:3.363871, Test Loss MSEL:3.273108,
Train Loss mSEL:1.363190, Val Loss mSEL:1.333663, Test Loss mSEL:1.365309,
Train acc:0.236968, Val acc:0.240349, Test acc:0.237344,
Train Loss mape:23.372488, Val Loss mape:24.395254, Test Loss mape:24.411026,

# Epochs:4
Train Loss MSEL:3.136170, Val Loss MSEL:3.195606, Test Loss MSEL:3.107782,
Train Loss mSEL:1.171231, Val Loss mSEL:1.081002, Test Loss mSEL:1.094372,
Train acc:0.262628, Val acc:0.287003, Test acc:0.280198,
Train Loss mape:23.951893, Val Loss mape:26.542303, Test Loss mape:26.409931,

# Epochs:5
Train Loss MSEL:2.983059, Val Loss MSEL:3.041216, Test Loss MSEL:2.965039,
Train Loss mSEL:1.035706, Val Loss mSEL:0.999537, Test Loss mSEL:0.997030,
Train acc:0.290672, Val acc:0.298710, Test acc:0.292919,
Train Loss mape:24.592140, Val Loss mape:26.374506, Test Loss mape:26.430597,

# Epochs:6
Train Loss MSEL:2.865591, Val Loss MSEL:2.932503, Test Loss MSEL:2.864749,
Train Loss mSEL:0.954788, Val Loss mSEL:0.960814, Test Loss mSEL:0.957633,
Train acc:0.304989, Val acc:0.306187, Test acc:0.302726,
Train Loss mape:25.047588, Val Loss mape:26.730515, Test Loss mape:26.911461,

# Epochs:7
Train Loss MSEL:2.783885, Val Loss MSEL:2.870263, Test Loss MSEL:2.804903,
Train Loss mSEL:0.933956, Val Loss mSEL:0.978221, Test Loss mSEL:0.968268,
Train acc:0.315385, Val acc:0.302731, Test acc:0.294624,
Train Loss mape:25.441851, Val Loss mape:25.852005, Test Loss mape:26.198456,

# Epochs:8
Train Loss MSEL:2.716455, Val Loss MSEL:2.816257, Test Loss MSEL:2.755018,
Train Loss mSEL:0.883023, Val Loss mSEL:0.853988, Test Loss mSEL:0.833845,
Train acc:0.331671, Val acc:0.341868, Test acc:0.338798,
Train Loss mape:25.830688, Val Loss mape:28.002966, Test Loss mape:28.330994,

# Epochs:9
Train Loss MSEL:2.672760, Val Loss MSEL:2.764445, Test Loss MSEL:2.702696,
Train Loss mSEL:0.828425, Val Loss mSEL:0.857089, Test Loss mSEL:0.829891,
Train acc:0.344390, Val acc:0.340842, Test acc:0.340539,
Train Loss mape:26.198040, Val Loss mape:27.164042, Test Loss mape:27.422043,

# Epochs:10
Train Loss MSEL:2.639337, Val Loss MSEL:2.743189, Test Loss MSEL:2.670296,
Train Loss mSEL:0.794209, Val Loss mSEL:0.800475, Test Loss mSEL:0.777482,
Train acc:0.356701, Val acc:0.360259, Test acc:0.359979,
Train Loss mape:26.432026, Val Loss mape:27.969658, Test Loss mape:28.143524,

# Epochs:11
Train Loss MSEL:2.616771, Val Loss MSEL:2.715615, Test Loss MSEL:2.646906,
Train Loss mSEL:0.763258, Val Loss mSEL:0.806559, Test Loss mSEL:0.779101,
Train acc:0.368708, Val acc:0.362931, Test acc:0.363004,
Train Loss mape:26.675533, Val Loss mape:27.603018, Test Loss mape:27.845196,

# Epochs:12
Train Loss MSEL:2.596045, Val Loss MSEL:2.695176, Test Loss MSEL:2.650795,
Train Loss mSEL:0.748804, Val Loss mSEL:0.797547, Test Loss mSEL:0.773825,
Train acc:0.374155, Val acc:0.365558, Test acc:0.365874,
Train Loss mape:26.822279, Val Loss mape:27.802847, Test Loss mape:28.250635,

