===========configuration loading success==========
===================configuration===================
learning rate :  0.001
observation hour [7,19]
observation threshold :  1800
prediction time :  86400
cascade length [10,100]
model save at : ../model_save/topolstm/citation1/
===================configuration===================
# Epochs:0
Train Loss MSEL:2.539077, Val Loss MSEL:2.202340, Test Loss MSEL:2.229433,
Train Loss mSEL:1.021157, Val Loss mSEL:1.072116, Test Loss mSEL:1.032789,
Train acc:0.343597, Val acc:0.315825, Test acc:0.317675,
Train Loss mape:0.403889, Val Loss mape:0.369433, Test Loss mape:0.374011,

# Epochs:1
Train Loss MSEL:1.969692, Val Loss MSEL:1.836403, Test Loss MSEL:1.899278,
Train Loss mSEL:0.806566, Val Loss mSEL:0.697872, Test Loss mSEL:0.704413,
Train acc:0.406141, Val acc:0.451373, Test acc:0.449726,
Train Loss mape:0.391078, Val Loss mape:0.399604, Test Loss mape:0.410440,

# Epochs:2
Train Loss MSEL:1.825283, Val Loss MSEL:1.731282, Test Loss MSEL:1.797156,
Train Loss mSEL:0.751754, Val Loss mSEL:0.691650, Test Loss mSEL:0.684804,
Train acc:0.429497, Val acc:0.458438, Test acc:0.457187,
Train Loss mape:0.393762, Val Loss mape:0.399670, Test Loss mape:0.411484,

# Epochs:3
Train Loss MSEL:1.787183, Val Loss MSEL:1.735146, Test Loss MSEL:1.817608,
Train Loss mSEL:0.744709, Val Loss mSEL:0.698021, Test Loss mSEL:0.696782,
Train acc:0.437603, Val acc:0.462647, Test acc:0.458688,
Train Loss mape:0.398106, Val Loss mape:0.406058, Test Loss mape:0.421323,

# Epochs:4
Train Loss MSEL:1.778359, Val Loss MSEL:1.692911, Test Loss MSEL:1.774472,
Train Loss mSEL:0.732155, Val Loss mSEL:0.698437, Test Loss mSEL:0.693892,
Train acc:0.441048, Val acc:0.462498, Test acc:0.460089,
Train Loss mape:0.400498, Val Loss mape:0.400889, Test Loss mape:0.415164,

# Epochs:5
Train Loss MSEL:1.765467, Val Loss MSEL:1.705255, Test Loss MSEL:1.764854,
Train Loss mSEL:0.728201, Val Loss mSEL:0.763676, Test Loss mSEL:0.755940,
Train acc:0.444155, Val acc:0.423688, Test acc:0.424285,
Train Loss mape:0.401925, Val Loss mape:0.380367, Test Loss mape:0.389118,

# Epochs:6
Train Loss MSEL:1.760381, Val Loss MSEL:1.673238, Test Loss MSEL:1.749066,
Train Loss mSEL:0.722674, Val Loss mSEL:0.706879, Test Loss mSEL:0.690694,
Train acc:0.445887, Val acc:0.455185, Test acc:0.457230,
Train Loss mape:0.402054, Val Loss mape:0.399491, Test Loss mape:0.411997,

# Epochs:7
Train Loss MSEL:1.761357, Val Loss MSEL:1.714972, Test Loss MSEL:1.780260,
Train Loss mSEL:0.729211, Val Loss mSEL:0.774704, Test Loss mSEL:0.773704,
Train acc:0.444226, Val acc:0.426437, Test acc:0.421428,
Train Loss mape:0.403233, Val Loss mape:0.382887, Test Loss mape:0.392665,

# Epochs:8
Train Loss MSEL:1.752136, Val Loss MSEL:1.682425, Test Loss MSEL:1.764896,
Train Loss mSEL:0.723181, Val Loss mSEL:0.700932, Test Loss mSEL:0.703770,
Train acc:0.447303, Val acc:0.463743, Test acc:0.455182,
Train Loss mape:0.402724, Val Loss mape:0.399723, Test Loss mape:0.413363,

# Epochs:9
Train Loss MSEL:1.751996, Val Loss MSEL:1.667064, Test Loss MSEL:1.742293,
Train Loss mSEL:0.721309, Val Loss mSEL:0.716393, Test Loss mSEL:0.690884,
Train acc:0.446864, Val acc:0.455831, Test acc:0.449029,
Train Loss mape:0.403240, Val Loss mape:0.395758, Test Loss mape:0.407581,

# Epochs:10
Train Loss MSEL:1.754130, Val Loss MSEL:1.749653, Test Loss MSEL:1.824471,
Train Loss mSEL:0.719621, Val Loss mSEL:0.683834, Test Loss mSEL:0.718928,
Train acc:0.447823, Val acc:0.467757, Test acc:0.461336,
