===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  7
prediction time :  86400
cascade length [10,100]
model save at : ../model_save/topolstm/dblp/
===================configuration===================


# Epochs:0
 Train Loss:4.742534, Val Loss:3.553292, Test Loss:3.534990,




# Epochs:1
 Train Loss:3.229177, Val Loss:3.031126, Test Loss:3.019822,




# Epochs:2
 Train Loss:2.840811, Val Loss:2.704368, Test Loss:2.690039,




# Epochs:3
 Train Loss:2.556908, Val Loss:2.470122, Test Loss:2.457010,




# Epochs:4
 Train Loss:2.363883, Val Loss:2.332603, Test Loss:2.310533,




# Epochs:5
 Train Loss:2.230473, Val Loss:2.203761, Test Loss:2.189570,




# Epochs:6
 Train Loss:2.135479, Val Loss:2.129486, Test Loss:2.106713,




# Epochs:7
 Train Loss:2.071086, Val Loss:2.159270, Test Loss:2.133018,




# Epochs:8
 Train Loss:2.035750, Val Loss:2.072000, Test Loss:2.046319,




# Epochs:9
 Train Loss:2.004081, Val Loss:2.022973, Test Loss:2.006258,




# Epochs:10
 Train Loss:1.989784, Val Loss:2.013324, Test Loss:1.988292,




# Epochs:11
 Train Loss:1.985288, Val Loss:2.055439, Test Loss:2.019233,




# Epochs:12
 Train Loss:1.978979, Val Loss:2.012603, Test Loss:2.001230,




# Epochs:13
 Train Loss:1.982172, Val Loss:2.003800, Test Loss:1.988967,




# Epochs:14
 Train Loss:1.970494, Val Loss:2.015210, Test Loss:1.991796,




# Epochs:15
 Train Loss:1.970380, Val Loss:1.994954, Test Loss:1.973244,




# Epochs:16
 Train Loss:1.969945, Val Loss:2.004742, Test Loss:1.984806,




# Epochs:17
 Train Loss:1.980849, Val Loss:1.996975, Test Loss:1.981685,




# Epochs:18
 Train Loss:1.970811, Val Loss:2.011525, Test Loss:2.008554,




# Epochs:19
 Train Loss:1.969746, Val Loss:2.008113, Test Loss:1.988570,




# Epochs:20
 Train Loss:1.976044, Val Loss:1.997884, Test Loss:1.985985,




# Epochs:21
 Train Loss:1.969401, Val Loss:1.996012, Test Loss:1.971810,




# Epochs:22
 Train Loss:1.963596, Val Loss:1.994291, Test Loss:1.974649,




# Epochs:23
 Train Loss:1.964596, Val Loss:1.996627, Test Loss:1.971072,




# Epochs:24
 Train Loss:1.965918, Val Loss:2.006581, Test Loss:1.994215,




# Epochs:25
 Train Loss:1.979048, Val Loss:1.997172, Test Loss:1.966414,




# Epochs:26
 Train Loss:1.962594, Val Loss:1.994064, Test Loss:1.975304,




# Epochs:27
 Train Loss:1.964133, Val Loss:1.992922, Test Loss:1.968160,




# Epochs:28
 Train Loss:1.969778, Val Loss:1.997239, Test Loss:1.971668,




# Epochs:29
 Train Loss:1.961946, Val Loss:2.000155, Test Loss:1.973291,




# Epochs:30
 Train Loss:1.963072, Val Loss:2.005502, Test Loss:1.989209,




# Epochs:31
 Train Loss:1.966597, Val Loss:1.994919, Test Loss:1.973720,




# Epochs:32
 Train Loss:1.971380, Val Loss:2.008272, Test Loss:1.990235,




# Epochs:33
 Train Loss:1.971632, Val Loss:1.994308, Test Loss:1.982149,




# Epochs:34
 Train Loss:1.970405, Val Loss:2.039214, Test Loss:2.013193,




# Epochs:35
 Train Loss:1.961241, Val Loss:2.003627, Test Loss:1.984749,




# Epochs:36
 Train Loss:1.964118, Val Loss:2.005411, Test Loss:1.980689,




# Epochs:37
 Train Loss:1.961455, Val Loss:1.997623, Test Loss:1.969862,




# Epochs:38
 Train Loss:1.962380, Val Loss:2.007433, Test Loss:1.976822,




# Epochs:39
 Train Loss:1.964638, Val Loss:1.990941, Test Loss:1.970372,




# Epochs:40
 Train Loss:1.960909, Val Loss:1.989103, Test Loss:1.969800,




# Epochs:41
 Train Loss:1.962358, Val Loss:2.003943, Test Loss:1.975884,




# Epochs:42
 Train Loss:1.956437, Val Loss:2.005514, Test Loss:1.983640,




# Epochs:43
 Train Loss:1.960486, Val Loss:2.005171, Test Loss:1.980782,




# Epochs:44
 Train Loss:1.961094, Val Loss:2.021923, Test Loss:1.996319,




# Epochs:45
 Train Loss:1.968264, Val Loss:2.000224, Test Loss:1.971554,




# Epochs:46
 Train Loss:1.960046, Val Loss:2.013669, Test Loss:1.984204,




# Epochs:47
 Train Loss:1.957661, Val Loss:1.993945, Test Loss:1.966356,




# Epochs:48
 Train Loss:1.962104, Val Loss:1.992986, Test Loss:1.968814,




# Epochs:49
 Train Loss:1.961619, Val Loss:1.991804, Test Loss:1.972072,


