===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  3600
prediction time :  86400
cascade length [5,100]
model save at : ../model_save/topolstm/weibo/
===================configuration===================


# Epochs:0
 Train Loss:7.205266, Val Loss:6.281375, Test Loss:6.113388,




# Epochs:1
 Train Loss:5.640053, Val Loss:5.234675, Test Loss:5.056682,




# Epochs:2
 Train Loss:4.854115, Val Loss:4.589926, Test Loss:4.486896,




# Epochs:3
 Train Loss:4.267495, Val Loss:4.210559, Test Loss:3.977431,




# Epochs:4
 Train Loss:3.819452, Val Loss:3.660915, Test Loss:3.502865,




# Epochs:5
 Train Loss:3.477371, Val Loss:3.414100, Test Loss:3.253301,




# Epochs:6
 Train Loss:3.226837, Val Loss:3.221440, Test Loss:3.043793,




# Epochs:7
 Train Loss:3.061684, Val Loss:3.113717, Test Loss:2.884822,




# Epochs:8
 Train Loss:2.942719, Val Loss:2.998204, Test Loss:2.797941,




# Epochs:9
 Train Loss:2.883079, Val Loss:2.938931, Test Loss:2.721381,




# Epochs:10
 Train Loss:2.841712, Val Loss:2.879646, Test Loss:2.743161,




# Epochs:11
 Train Loss:2.804027, Val Loss:2.983913, Test Loss:2.740489,




# Epochs:12
 Train Loss:2.819194, Val Loss:2.927778, Test Loss:2.752871,




# Epochs:13
 Train Loss:2.779391, Val Loss:2.948384, Test Loss:2.685771,




# Epochs:14
 Train Loss:2.782235, Val Loss:2.858288, Test Loss:2.696427,




# Epochs:15
 Train Loss:2.779006, Val Loss:2.884038, Test Loss:2.657163,




# Epochs:16
 Train Loss:2.767296, Val Loss:2.867280, Test Loss:2.700051,




# Epochs:17
 Train Loss:2.760664, Val Loss:2.856702, Test Loss:2.666849,




# Epochs:18
 Train Loss:2.763681, Val Loss:2.927713, Test Loss:2.764047,




# Epochs:19
 Train Loss:2.760822, Val Loss:2.905234, Test Loss:2.703083,




# Epochs:20
 Train Loss:2.761613, Val Loss:2.836819, Test Loss:2.646976,




# Epochs:21
 Train Loss:2.756146, Val Loss:2.984070, Test Loss:2.844027,




# Epochs:22
 Train Loss:2.774979, Val Loss:2.852726, Test Loss:2.686595,




# Epochs:23
 Train Loss:2.771489, Val Loss:2.874264, Test Loss:2.704178,




# Epochs:24
 Train Loss:2.763386, Val Loss:2.859513, Test Loss:2.675184,




# Epochs:25
 Train Loss:2.770195, Val Loss:2.943712, Test Loss:2.695621,




# Epochs:26
 Train Loss:2.758497, Val Loss:2.852624, Test Loss:2.662961,




# Epochs:27
 Train Loss:2.756501, Val Loss:2.916964, Test Loss:2.724646,




# Epochs:28
 Train Loss:2.761830, Val Loss:2.822080, Test Loss:2.657159,




# Epochs:29
 Train Loss:2.761347, Val Loss:2.886866, Test Loss:2.688789,




# Epochs:30
 Train Loss:2.758466, Val Loss:2.886173, Test Loss:2.710153,




# Epochs:31
 Train Loss:2.758600, Val Loss:2.874226, Test Loss:2.686295,




# Epochs:32
 Train Loss:2.744360, Val Loss:2.890115, Test Loss:2.653512,




# Epochs:33
 Train Loss:2.755550, Val Loss:2.812096, Test Loss:2.678646,




# Epochs:34
 Train Loss:2.753070, Val Loss:2.899823, Test Loss:2.685191,




# Epochs:35
 Train Loss:2.745500, Val Loss:2.873159, Test Loss:2.688846,




# Epochs:36
 Train Loss:2.759176, Val Loss:2.830129, Test Loss:2.658178,




# Epochs:37
 Train Loss:2.769824, Val Loss:2.816442, Test Loss:2.674136,




# Epochs:38
 Train Loss:2.754358, Val Loss:2.867477, Test Loss:2.684956,




# Epochs:39
 Train Loss:2.742806, Val Loss:2.854432, Test Loss:2.694590,




# Epochs:40
 Train Loss:2.745162, Val Loss:2.812315, Test Loss:2.655064,




# Epochs:41
 Train Loss:2.748986, Val Loss:2.845990, Test Loss:2.678504,




# Epochs:42
 Train Loss:2.743432, Val Loss:2.847186, Test Loss:2.686181,




# Epochs:43
 Train Loss:2.742107, Val Loss:2.847870, Test Loss:2.660357,




# Epochs:44
 Train Loss:2.746590, Val Loss:2.858943, Test Loss:2.693048,




# Epochs:45
 Train Loss:2.748031, Val Loss:2.866612, Test Loss:2.697480,




# Epochs:46
 Train Loss:2.749397, Val Loss:2.861954, Test Loss:2.712086,




# Epochs:47
 Train Loss:2.744109, Val Loss:2.824577, Test Loss:2.712910,




# Epochs:48
 Train Loss:2.741652, Val Loss:2.912409, Test Loss:2.755063,




# Epochs:49
 Train Loss:2.751794, Val Loss:2.815581, Test Loss:2.670304,


