===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  1800
prediction time :  86400
cascade length [10,100]
model save at : ../model_save/topolstm/citation/
===================configuration===================


# Epochs:0
 Train Loss:3.975618, Val Loss:3.050760, Test Loss:2.926722,




# Epochs:1
 Train Loss:2.813498, Val Loss:2.669462, Test Loss:2.605102,




# Epochs:2
 Train Loss:2.617857, Val Loss:2.561273, Test Loss:2.451370,




# Epochs:3
 Train Loss:2.517938, Val Loss:2.512527, Test Loss:2.399890,




# Epochs:4
 Train Loss:2.460187, Val Loss:2.535258, Test Loss:2.405712,




# Epochs:5
 Train Loss:2.400990, Val Loss:2.444957, Test Loss:2.349864,




# Epochs:6
 Train Loss:2.370899, Val Loss:2.416513, Test Loss:2.328341,




# Epochs:7
 Train Loss:2.345956, Val Loss:2.374904, Test Loss:2.331268,




# Epochs:8
 Train Loss:2.321210, Val Loss:2.391537, Test Loss:2.288014,




# Epochs:9
 Train Loss:2.295490, Val Loss:2.406032, Test Loss:2.318509,




# Epochs:10
 Train Loss:2.274698, Val Loss:2.308183, Test Loss:2.216774,




# Epochs:11
 Train Loss:2.251176, Val Loss:2.272825, Test Loss:2.289676,




# Epochs:12
 Train Loss:2.235850, Val Loss:2.280974, Test Loss:2.184430,




# Epochs:13
 Train Loss:2.226183, Val Loss:2.271115, Test Loss:2.226578,




# Epochs:14
 Train Loss:2.203259, Val Loss:2.238908, Test Loss:2.198884,




# Epochs:15
 Train Loss:2.195835, Val Loss:2.226460, Test Loss:2.161800,




# Epochs:16
 Train Loss:2.170193, Val Loss:2.248398, Test Loss:2.175412,




# Epochs:17
 Train Loss:2.159818, Val Loss:2.211962, Test Loss:2.217970,




# Epochs:18
 Train Loss:2.161255, Val Loss:2.195168, Test Loss:2.160412,




# Epochs:19
 Train Loss:2.136289, Val Loss:2.171294, Test Loss:2.127567,




# Epochs:20
 Train Loss:2.137931, Val Loss:2.196068, Test Loss:2.147973,




# Epochs:21
 Train Loss:2.123172, Val Loss:2.210158, Test Loss:2.112640,




# Epochs:22
 Train Loss:2.122258, Val Loss:2.188414, Test Loss:2.097689,




# Epochs:23
 Train Loss:2.113538, Val Loss:2.128046, Test Loss:2.079217,




# Epochs:24
 Train Loss:2.110403, Val Loss:2.141082, Test Loss:2.103774,




# Epochs:25
 Train Loss:2.105057, Val Loss:2.235360, Test Loss:2.156938,




# Epochs:26
 Train Loss:2.106219, Val Loss:2.101896, Test Loss:2.160252,




# Epochs:27
 Train Loss:2.093588, Val Loss:2.154921, Test Loss:2.131866,




# Epochs:28
 Train Loss:2.085315, Val Loss:2.187143, Test Loss:2.157825,




# Epochs:29
 Train Loss:2.085123, Val Loss:2.163316, Test Loss:2.125079,




# Epochs:30
 Train Loss:2.071029, Val Loss:2.107192, Test Loss:2.129577,




# Epochs:31
 Train Loss:2.070637, Val Loss:2.171151, Test Loss:2.087153,




# Epochs:32
 Train Loss:2.064898, Val Loss:2.126645, Test Loss:2.069978,




# Epochs:33
 Train Loss:2.063535, Val Loss:2.150836, Test Loss:2.051735,




# Epochs:34
 Train Loss:2.062755, Val Loss:2.076741, Test Loss:2.050487,




# Epochs:35
 Train Loss:2.060034, Val Loss:2.102556, Test Loss:2.066779,




# Epochs:36
 Train Loss:2.053502, Val Loss:2.106303, Test Loss:2.088839,




# Epochs:37
 Train Loss:2.061422, Val Loss:2.109927, Test Loss:2.072082,




# Epochs:38
 Train Loss:2.055889, Val Loss:2.064626, Test Loss:2.080896,




# Epochs:39
 Train Loss:2.057044, Val Loss:2.092051, Test Loss:2.101464,




# Epochs:40
 Train Loss:2.053054, Val Loss:2.087033, Test Loss:2.086932,




# Epochs:41
 Train Loss:2.042583, Val Loss:2.136838, Test Loss:2.142967,




# Epochs:42
 Train Loss:2.040817, Val Loss:2.082633, Test Loss:2.097736,




# Epochs:43
 Train Loss:2.046716, Val Loss:2.101182, Test Loss:2.082843,




# Epochs:44
 Train Loss:2.049336, Val Loss:2.125359, Test Loss:2.069525,




# Epochs:45
 Train Loss:2.045096, Val Loss:2.110804, Test Loss:2.128483,




# Epochs:46
 Train Loss:2.045171, Val Loss:2.061456, Test Loss:2.067043,




# Epochs:47
 Train Loss:2.043205, Val Loss:2.085323, Test Loss:2.021702,




# Epochs:48
 Train Loss:2.040755, Val Loss:2.116711, Test Loss:2.083393,




# Epochs:49
 Train Loss:2.027499, Val Loss:2.083275, Test Loss:2.065015,


