===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  7200
prediction time :  86400
cascade length [5,100]
model save at : ../model_save/topolstm/weibo/
===================configuration===================
# Epochs:0
Train Loss MSEL:5.519116, Val Loss MSEL:4.664032, Test Loss MSEL:4.670675,
Train Loss mSEL:2.689894, Val Loss mSEL:2.255517, Test Loss mSEL:2.300780,
Train acc:0.156130, Val acc:0.179416, Test acc:0.173779,
Train Loss mape:18.619261, Val Loss mape:20.931288, Test Loss mape:19.850349,

# Epochs:1
Train Loss MSEL:4.356959, Val Loss MSEL:4.122175, Test Loss MSEL:4.115841,
Train Loss mSEL:2.049565, Val Loss mSEL:1.837487, Test Loss mSEL:1.827241,
Train acc:0.197063, Val acc:0.223011, Test acc:0.219505,
Train Loss mape:19.986776, Val Loss mape:23.010225, Test Loss mape:20.432480,

# Epochs:2
Train Loss MSEL:3.892622, Val Loss MSEL:3.682023, Test Loss MSEL:3.627828,
Train Loss mSEL:1.625218, Val Loss mSEL:1.484291, Test Loss mSEL:1.493582,
Train acc:0.234747, Val acc:0.243671, Test acc:0.254240,
Train Loss mape:20.637306, Val Loss mape:21.299875, Test Loss mape:19.882627,

# Epochs:3
Train Loss MSEL:3.534301, Val Loss MSEL:3.372428, Test Loss MSEL:3.365612,
Train Loss mSEL:1.294391, Val Loss mSEL:1.157196, Test Loss mSEL:1.159698,
Train acc:0.272313, Val acc:0.285678, Test acc:0.285424,
Train Loss mape:21.156376, Val Loss mape:23.359198, Test Loss mape:21.459400,

# Epochs:4
Train Loss MSEL:3.271634, Val Loss MSEL:3.167587, Test Loss MSEL:3.126304,
Train Loss mSEL:1.104496, Val Loss mSEL:1.063594, Test Loss mSEL:1.062887,
Train acc:0.303881, Val acc:0.320929, Test acc:0.305005,
Train Loss mape:21.579563, Val Loss mape:23.197546, Test Loss mape:20.960400,

# Epochs:5
Train Loss MSEL:3.069501, Val Loss MSEL:2.955261, Test Loss MSEL:2.903852,
Train Loss mSEL:0.955670, Val Loss mSEL:0.879228, Test Loss mSEL:0.872005,
Train acc:0.343501, Val acc:0.364514, Test acc:0.357482,
Train Loss mape:22.111164, Val Loss mape:23.789164, Test Loss mape:21.760878,

# Epochs:6
Train Loss MSEL:2.926101, Val Loss MSEL:2.842738, Test Loss MSEL:2.804600,
Train Loss mSEL:0.844614, Val Loss mSEL:0.802490, Test Loss mSEL:0.811120,
Train acc:0.378335, Val acc:0.387272, Test acc:0.386686,
