===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  6
prediction time :  86400
cascade length [10,100]
model save at : ../model_save/topolstm/dblp1/
===================configuration===================
# Epochs:0
# Epochs:18
Train Loss MSEL:1.941917, Val Loss MSEL:2.011176, Test Loss MSEL:1.964096,
Train Loss mSEL:0.831006, Val Loss mSEL:0.871595, Test Loss mSEL:0.832307,
Train acc:0.507150, Val acc:0.497442, Test acc:0.503172,
Train Loss mape:4.531390, Val Loss mape:4.765553, Test Loss mape:3.969797,

# Epochs:19
Train Loss MSEL:1.946003, Val Loss MSEL:1.987582, Test Loss MSEL:1.946233,
Train Loss mSEL:0.830906, Val Loss mSEL:0.854000, Test Loss mSEL:0.823089,
Train acc:0.507689, Val acc:0.501916, Test acc:0.508221,
Train Loss mape:4.540540, Val Loss mape:4.769266, Test Loss mape:4.013262,

# Epochs:20
Train Loss MSEL:1.941669, Val Loss MSEL:1.982966, Test Loss MSEL:1.939273,
Train Loss mSEL:0.829462, Val Loss mSEL:0.852677, Test Loss mSEL:0.810911,
Train acc:0.509606, Val acc:0.504148, Test acc:0.512890,
Train Loss mape:4.546447, Val Loss mape:4.787798, Test Loss mape:4.012364,

# Epochs:21
Train Loss MSEL:1.941341, Val Loss MSEL:1.999071, Test Loss MSEL:1.956747,
Train Loss mSEL:0.827357, Val Loss mSEL:0.843248, Test Loss mSEL:0.816858,
Train acc:0.508458, Val acc:0.508420, Test acc:0.513177,
Train Loss mape:4.547948, Val Loss mape:4.880837, Test Loss mape:4.113696,

# Epochs:22
Train Loss MSEL:1.938131, Val Loss MSEL:1.982538, Test Loss MSEL:1.940715,
Train Loss mSEL:0.826498, Val Loss mSEL:0.849612, Test Loss mSEL:0.813430,
Train acc:0.509029, Val acc:0.505445, Test acc:0.512481,
Train Loss mape:4.555714, Val Loss mape:4.803456, Test Loss mape:4.059427,

# Epochs:23
Train Loss MSEL:1.938423, Val Loss MSEL:1.982849, Test Loss MSEL:1.940960,
Train Loss mSEL:0.824281, Val Loss mSEL:0.849579, Test Loss mSEL:0.813861,
Train acc:0.508807, Val acc:0.507647, Test acc:0.512439,
