===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  7
prediction time :  86400
cascade length [10,1000]
model save at : ../model_save/topolstm/dblp/
===================configuration===================
# Epochs:0
Train Loss MSEL:8.440528, Val Loss MSEL:6.324015, Test Loss MSEL:6.343857,
Train Loss mSEL:4.217865, Val Loss mSEL:4.092952, Test Loss mSEL:4.250321,
Train acc:0.124465, Val acc:0.100385, Test acc:0.098846,
Train Loss mape:3.183678, Val Loss mape:3.362164, Test Loss mape:3.475843,

# Epochs:1
Train Loss MSEL:5.421666, Val Loss MSEL:4.170707, Test Loss MSEL:4.218013,
Train Loss mSEL:2.365580, Val Loss mSEL:1.215224, Test Loss mSEL:1.228519,
Train acc:0.217165, Val acc:0.354761, Test acc:0.354657,
Train Loss mape:4.441874, Val Loss mape:5.093716, Test Loss mape:5.329065,

# Epochs:2
Train Loss MSEL:3.977118, Val Loss MSEL:3.245754, Test Loss MSEL:3.404596,
Train Loss mSEL:1.565081, Val Loss mSEL:1.301413, Test Loss mSEL:1.333926,
Train acc:0.304767, Val acc:0.340242, Test acc:0.338070,
Train Loss mape:5.370888, Val Loss mape:5.279369, Test Loss mape:5.515232,

# Epochs:3
Train Loss MSEL:3.489845, Val Loss MSEL:3.094141, Test Loss MSEL:3.089558,
Train Loss mSEL:1.314356, Val Loss mSEL:1.477235, Test Loss mSEL:1.521301,
Train acc:0.346325, Val acc:0.319145, Test acc:0.313156,
Train Loss mape:5.891974, Val Loss mape:5.494001, Test Loss mape:5.733372,

# Epochs:4
Train Loss MSEL:3.284784, Val Loss MSEL:3.013412, Test Loss MSEL:3.029156,
Train Loss mSEL:1.317297, Val Loss mSEL:1.441316, Test Loss mSEL:1.492782,
Train acc:0.349041, Val acc:0.325058, Test acc:0.319990,
Train Loss mape:5.949248, Val Loss mape:5.790092, Test Loss mape:5.930908,

# Epochs:5
Train Loss MSEL:2.738260, Val Loss MSEL:2.436898, Test Loss MSEL:2.515869,
Train Loss mSEL:1.095409, Val Loss mSEL:0.929232, Test Loss mSEL:0.919486,
Train acc:0.401112, Val acc:0.451446, Test acc:0.449349,
Train Loss mape:6.536331, Val Loss mape:6.584206, Test Loss mape:6.778450,

# Epochs:6
Train Loss MSEL:2.603128, Val Loss MSEL:2.327420, Test Loss MSEL:2.373917,
Train Loss mSEL:1.044496, Val Loss mSEL:0.916746, Test Loss mSEL:0.911057,
Train acc:0.421040, Val acc:0.458185, Test acc:0.458009,
Train Loss mape:6.830557, Val Loss mape:6.726270, Test Loss mape:7.020645,

# Epochs:7
Train Loss MSEL:2.468412, Val Loss MSEL:2.320632, Test Loss MSEL:2.328064,
Train Loss mSEL:0.992943, Val Loss mSEL:0.993817, Test Loss mSEL:1.018162,
Train acc:0.438516, Val acc:0.432163, Test acc:0.426561,
Train Loss mape:7.074027, Val Loss mape:6.775543, Test Loss mape:7.056226,

# Epochs:8
Train Loss MSEL:2.438749, Val Loss MSEL:2.270450, Test Loss MSEL:2.304785,
Train Loss mSEL:0.994169, Val Loss mSEL:0.911427, Test Loss mSEL:0.927770,
Train acc:0.443008, Val acc:0.466115, Test acc:0.464097,
Train Loss mape:7.230351, Val Loss mape:6.961662, Test Loss mape:7.183838,

# Epochs:9
Train Loss MSEL:2.417703, Val Loss MSEL:2.337859, Test Loss MSEL:2.433351,
Train Loss mSEL:0.992121, Val Loss mSEL:0.887901, Test Loss mSEL:0.900848,
Train acc:0.445205, Val acc:0.478419, Test acc:0.478493,
Train Loss mape:7.286458, Val Loss mape:7.152909, Test Loss mape:7.518324,

# Epochs:10
Train Loss MSEL:2.362183, Val Loss MSEL:2.250817, Test Loss MSEL:2.274019,
Train Loss mSEL:0.975578, Val Loss mSEL:0.914430, Test Loss mSEL:0.921440,
Train acc:0.451221, Val acc:0.473421, Test acc:0.471195,
Train Loss mape:7.396031, Val Loss mape:7.166668, Test Loss mape:7.420009,

# Epochs:11
Train Loss MSEL:2.346819, Val Loss MSEL:2.323439, Test Loss MSEL:2.331852,
Train Loss mSEL:0.975353, Val Loss mSEL:0.887703, Test Loss mSEL:0.904257,
Train acc:0.452514, Val acc:0.479634, Test acc:0.480514,
Train Loss mape:7.420443, Val Loss mape:7.292390, Test Loss mape:7.550920,

# Epochs:12
Train Loss MSEL:2.349059, Val Loss MSEL:2.240498, Test Loss MSEL:2.241837,
Train Loss mSEL:0.972972, Val Loss mSEL:0.933008, Test Loss mSEL:0.951629,
Train acc:0.453704, Val acc:0.464520, Test acc:0.463350,
Train Loss mape:7.444802, Val Loss mape:7.114062, Test Loss mape:7.442395,

# Epochs:13
Train Loss MSEL:2.333181, Val Loss MSEL:2.234266, Test Loss MSEL:2.258881,
Train Loss mSEL:0.971433, Val Loss mSEL:0.930282, Test Loss mSEL:0.943785,
Train acc:0.455058, Val acc:0.468956, Test acc:0.467440,
Train Loss mape:7.505948, Val Loss mape:7.184396, Test Loss mape:7.384484,

# Epochs:14
Train Loss MSEL:2.335672, Val Loss MSEL:2.347003, Test Loss MSEL:2.343988,
Train Loss mSEL:0.970594, Val Loss mSEL:1.034049, Test Loss mSEL:1.051803,
Train acc:0.455142, Val acc:0.429969, Test acc:0.428361,
Train Loss mape:7.508887, Val Loss mape:6.924479, Test Loss mape:7.218703,

# Epochs:15
Train Loss MSEL:2.325070, Val Loss MSEL:2.245672, Test Loss MSEL:2.239839,
Train Loss mSEL:0.968430, Val Loss mSEL:0.925257, Test Loss mSEL:0.943223,
Train acc:0.456447, Val acc:0.472309, Test acc:0.470621,
Train Loss mape:7.519298, Val Loss mape:7.278809, Test Loss mape:7.506417,

# Epochs:16
