===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  8
prediction time :  86400
cascade length [10,100]
model save at : ../model_save/topolstm/dblp/
===================configuration===================
# Epochs:0
Train Loss MSEL:1.979088, Val Loss MSEL:1.976113, Test Loss MSEL:2.034382,
Train Loss mSEL:0.875111, Val Loss mSEL:0.897834, Test Loss mSEL:0.902155,
Train acc:0.438482, Val acc:0.432075, Test acc:0.431212,
Train Loss mape:9.837487, Val Loss mape:10.014644, Test Loss mape:10.914380,

# Epochs:19
Train Loss MSEL:1.979992, Val Loss MSEL:1.987519, Test Loss MSEL:2.047316,
Train Loss mSEL:0.869158, Val Loss mSEL:0.895099, Test Loss mSEL:0.889000,
Train acc:0.437807, Val acc:0.434287, Test acc:0.436141,
Train Loss mape:9.858052, Val Loss mape:10.178555, Test Loss mape:11.081703,

# Epochs:20
Train Loss MSEL:1.979098, Val Loss MSEL:1.979699, Test Loss MSEL:2.037134,
Train Loss mSEL:0.869286, Val Loss mSEL:0.896452, Test Loss mSEL:0.905029,
Train acc:0.439098, Val acc:0.429577, Test acc:0.427559,
Train Loss mape:9.867640, Val Loss mape:9.964523, Test Loss mape:10.843295,

# Epochs:21
Train Loss MSEL:1.976503, Val Loss MSEL:1.975196, Test Loss MSEL:2.034299,
Train Loss mSEL:0.870818, Val Loss mSEL:0.892726, Test Loss mSEL:0.896065,
Train acc:0.438176, Val acc:0.433860, Test acc:0.433832,
Train Loss mape:9.862371, Val Loss mape:10.074942, Test Loss mape:10.986415,

# Epochs:22
Train Loss MSEL:1.975870, Val Loss MSEL:1.974533, Test Loss MSEL:2.034847,
Train Loss mSEL:0.867674, Val Loss mSEL:0.894865, Test Loss mSEL:0.902630,
Train acc:0.439441, Val acc:0.433089, Test acc:0.433276,
Train Loss mape:9.851697, Val Loss mape:10.052567, Test Loss mape:10.960470,

# Epochs:23
Train Loss MSEL:1.973102, Val Loss MSEL:1.997743, Test Loss MSEL:2.056629,
Train Loss mSEL:0.871347, Val Loss mSEL:0.903004, Test Loss mSEL:0.894573,
Train acc:0.439472, Val acc:0.438552, Test acc:0.436478,
Train Loss mape:9.859952, Val Loss mape:10.258530, Test Loss mape:11.165044,

# Epochs:24
Train Loss MSEL:1.974968, Val Loss MSEL:1.973710, Test Loss MSEL:2.034029,
Train Loss mSEL:0.867965, Val Loss mSEL:0.898102, Test Loss mSEL:0.901804,
Train acc:0.439489, Val acc:0.431579, Test acc:0.431048,
Train Loss mape:9.885851, Val Loss mape:10.021663, Test Loss mape:10.924689,

# Epochs:25
Train Loss MSEL:1.971586, Val Loss MSEL:1.973011, Test Loss MSEL:2.033073,
Train Loss mSEL:0.862748, Val Loss mSEL:0.896126, Test Loss mSEL:0.899710,
Train acc:0.439577, Val acc:0.434363, Test acc:0.433759,
Train Loss mape:9.874411, Val Loss mape:10.070347, Test Loss mape:11.002869,

# Epochs:26
Train Loss MSEL:1.972017, Val Loss MSEL:1.975555, Test Loss MSEL:2.032294,
Train Loss mSEL:0.861179, Val Loss mSEL:0.896714, Test Loss mSEL:0.902922,
Train acc:0.440543, Val acc:0.430601, Test acc:0.431024,
Train Loss mape:9.895240, Val Loss mape:10.061434, Test Loss mape:10.919587,

# Epochs:27
Train Loss MSEL:1.973260, Val Loss MSEL:1.979881, Test Loss MSEL:2.036904,
Train Loss mSEL:0.865137, Val Loss mSEL:0.895007, Test Loss mSEL:0.903653,
Train acc:0.439844, Val acc:0.428685, Test acc:0.428314,
Train Loss mape:9.882711, Val Loss mape:9.975146, Test Loss mape:10.852690,

# Epochs:28
Train Loss MSEL:1.974881, Val Loss MSEL:1.975975, Test Loss MSEL:2.034668,
Train Loss mSEL:0.867003, Val Loss mSEL:0.890631, Test Loss mSEL:0.886926,
Train acc:0.439821, Val acc:0.434662, Test acc:0.435347,
Train Loss mape:9.881557, Val Loss mape:10.104077, Test Loss mape:11.023824,

# Epochs:29
Train Loss MSEL:1.973768, Val Loss MSEL:2.001158, Test Loss MSEL:2.059782,
Train Loss mSEL:0.869608, Val Loss mSEL:0.904042, Test Loss mSEL:0.896014,
Train acc:0.439396, Val acc:0.438649, Test acc:0.436462,
