===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  8
prediction time :  86400
cascade length [10,1000]
model save at : ../model_save/topolstm/dblp/
===================configuration===================


# Epochs:0
 Train Loss:7.587518, Val Loss:6.108478, Test Loss:5.913987,




# Epochs:1
 Train Loss:5.010121, Val Loss:4.228249, Test Loss:3.815713,




# Epochs:2
 Train Loss:3.720075, Val Loss:3.295651, Test Loss:3.158107,




# Epochs:3
 Train Loss:3.074129, Val Loss:2.913254, Test Loss:2.843851,




# Epochs:4
 Train Loss:2.690356, Val Loss:2.672858, Test Loss:2.523328,




# Epochs:5
 Train Loss:2.545559, Val Loss:2.701139, Test Loss:2.614031,




# Epochs:6
 Train Loss:2.519048, Val Loss:2.607668, Test Loss:2.592282,




# Epochs:7
 Train Loss:2.453820, Val Loss:2.449420, Test Loss:2.396676,




# Epochs:8
 Train Loss:2.388731, Val Loss:2.550169, Test Loss:2.495158,




# Epochs:9
 Train Loss:2.390142, Val Loss:2.426666, Test Loss:2.388635,




# Epochs:10
 Train Loss:2.357753, Val Loss:2.396109, Test Loss:2.334209,




# Epochs:11
 Train Loss:2.355768, Val Loss:2.413402, Test Loss:2.380207,




# Epochs:12
 Train Loss:2.337269, Val Loss:2.451132, Test Loss:2.432298,




# Epochs:13
 Train Loss:2.330882, Val Loss:2.471361, Test Loss:2.450577,




# Epochs:14
 Train Loss:2.332016, Val Loss:2.554789, Test Loss:2.515689,




# Epochs:15
 Train Loss:2.324990, Val Loss:2.363830, Test Loss:2.335202,




# Epochs:16
 Train Loss:2.313208, Val Loss:2.358779, Test Loss:2.331583,




# Epochs:17
 Train Loss:2.310447, Val Loss:2.380562, Test Loss:2.341695,




# Epochs:18
 Train Loss:2.314859, Val Loss:2.369708, Test Loss:2.346013,




# Epochs:19
 Train Loss:2.330634, Val Loss:2.413250, Test Loss:2.410506,




# Epochs:20
 Train Loss:2.306711, Val Loss:2.355465, Test Loss:2.323274,




# Epochs:21
 Train Loss:2.308120, Val Loss:2.375997, Test Loss:2.348481,




# Epochs:22
 Train Loss:2.299774, Val Loss:2.354964, Test Loss:2.343614,




# Epochs:23
 Train Loss:2.299142, Val Loss:2.400012, Test Loss:2.358095,




# Epochs:24
 Train Loss:2.297796, Val Loss:2.357388, Test Loss:2.329266,




# Epochs:25
 Train Loss:2.299874, Val Loss:2.372600, Test Loss:2.332837,




# Epochs:26
 Train Loss:2.290119, Val Loss:2.363852, Test Loss:2.321224,




# Epochs:27
 Train Loss:2.318717, Val Loss:2.360699, Test Loss:2.341368,




# Epochs:28
 Train Loss:2.293455, Val Loss:2.366003, Test Loss:2.328252,




# Epochs:29
 Train Loss:2.297721, Val Loss:2.385625, Test Loss:2.343927,




# Epochs:30
 Train Loss:2.298983, Val Loss:2.358657, Test Loss:2.319870,




# Epochs:31
 Train Loss:2.294829, Val Loss:2.409496, Test Loss:2.357188,




# Epochs:32
 Train Loss:2.297453, Val Loss:2.354880, Test Loss:2.320709,




# Epochs:33
 Train Loss:2.281271, Val Loss:2.345128, Test Loss:2.323956,




# Epochs:34
 Train Loss:2.289747, Val Loss:2.351840, Test Loss:2.326287,




# Epochs:35
 Train Loss:2.298838, Val Loss:2.368051, Test Loss:2.355713,




# Epochs:36
 Train Loss:2.281812, Val Loss:2.349495, Test Loss:2.337503,




# Epochs:37
 Train Loss:2.256328, Val Loss:2.411483, Test Loss:2.352248,




# Epochs:38
 Train Loss:2.271035, Val Loss:2.380108, Test Loss:2.327500,




# Epochs:39
 Train Loss:2.288016, Val Loss:2.400422, Test Loss:2.339589,




# Epochs:40
 Train Loss:2.293636, Val Loss:2.344584, Test Loss:2.328196,




# Epochs:41
 Train Loss:2.251503, Val Loss:2.363093, Test Loss:2.324931,




# Epochs:42
 Train Loss:2.270103, Val Loss:2.349756, Test Loss:2.300509,




# Epochs:43
 Train Loss:2.276731, Val Loss:2.333614, Test Loss:2.314059,




# Epochs:44
 Train Loss:2.245451, Val Loss:2.348748, Test Loss:2.329079,




# Epochs:45
 Train Loss:2.290018, Val Loss:2.357424, Test Loss:2.299559,




# Epochs:46
 Train Loss:2.228346, Val Loss:2.338804, Test Loss:2.295666,




# Epochs:47
 Train Loss:2.237143, Val Loss:2.348356, Test Loss:2.295929,




# Epochs:48
 Train Loss:2.249491, Val Loss:2.355870, Test Loss:2.320851,




# Epochs:49
 Train Loss:2.242483, Val Loss:2.335709, Test Loss:2.276639,


