===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  7
prediction time :  86400
cascade length [10,100]
model save at : ../model_save/topolstm/dblp/
===================configuration===================
# Epochs:0
Train Loss MSEL:4.536305, Val Loss MSEL:3.371997, Test Loss MSEL:3.369621,
Train Loss mSEL:1.925840, Val Loss mSEL:1.649354, Test Loss mSEL:1.694225,
Train acc:0.260839, Val acc:0.285033, Test acc:0.280915,
Train Loss mape:4.239665, Val Loss mape:4.593651, Test Loss mape:4.420294,

# Epochs:1
Train Loss MSEL:3.005913, Val Loss MSEL:2.880007, Test Loss MSEL:2.889716,
Train Loss mSEL:1.323659, Val Loss mSEL:1.208733, Test Loss mSEL:1.247681,
Train acc:0.336665, Val acc:0.361351, Test acc:0.355802,
Train Loss mape:5.023832, Val Loss mape:5.514654, Test Loss mape:5.264511,

# Epochs:2
Train Loss MSEL:2.673137, Val Loss MSEL:2.573001, Test Loss MSEL:2.573406,
Train Loss mSEL:1.167966, Val Loss mSEL:1.115720, Test Loss mSEL:1.135463,
Train acc:0.367571, Val acc:0.383089, Test acc:0.380277,
Train Loss mape:5.434366, Val Loss mape:5.686335, Test Loss mape:5.523989,

# Epochs:3
Train Loss MSEL:2.438903, Val Loss MSEL:2.454791, Test Loss MSEL:2.446424,
Train Loss mSEL:1.065126, Val Loss mSEL:1.121931, Test Loss mSEL:1.151370,
Train acc:0.392127, Val acc:0.376169, Test acc:0.371236,
Train Loss mape:5.780160, Val Loss mape:5.758223, Test Loss mape:5.522873,

# Epochs:4
Train Loss MSEL:2.288715, Val Loss MSEL:2.247842, Test Loss MSEL:2.239920,
Train Loss mSEL:0.995590, Val Loss mSEL:0.951828, Test Loss mSEL:1.010108,
Train acc:0.412563, Val acc:0.420641, Test acc:0.420981,
Train Loss mape:6.000351, Val Loss mape:6.363441, Test Loss mape:6.073020,

# Epochs:5
Train Loss MSEL:2.166630, Val Loss MSEL:2.170653, Test Loss MSEL:2.147692,
Train Loss mSEL:0.944868, Val Loss mSEL:0.903882, Test Loss mSEL:0.945660,
Train acc:0.429512, Val acc:0.442126, Test acc:0.438770,
Train Loss mape:6.270514, Val Loss mape:6.612439, Test Loss mape:6.250584,

# Epochs:6
Train Loss MSEL:2.093153, Val Loss MSEL:2.133455, Test Loss MSEL:2.119573,
Train Loss mSEL:0.919434, Val Loss mSEL:0.887712, Test Loss mSEL:0.905585,
Train acc:0.440654, Val acc:0.454271, Test acc:0.452888,
Train Loss mape:6.465687, Val Loss mape:6.959583, Test Loss mape:6.463398,

# Epochs:7
Train Loss MSEL:2.046041, Val Loss MSEL:2.054132, Test Loss MSEL:2.037023,
Train Loss mSEL:0.891336, Val Loss mSEL:0.873873, Test Loss mSEL:0.898043,
Train acc:0.449317, Val acc:0.458522, Test acc:0.453357,
Train Loss mape:6.628658, Val Loss mape:6.889280, Test Loss mape:6.675873,

# Epochs:8
Train Loss MSEL:2.016973, Val Loss MSEL:2.034782, Test Loss MSEL:2.018720,
Train Loss mSEL:0.877444, Val Loss mSEL:0.859868, Test Loss mSEL:0.877990,
Train acc:0.455364, Val acc:0.464967, Test acc:0.463260,
Train Loss mape:6.761664, Val Loss mape:7.014767, Test Loss mape:6.716016,

# Epochs:9
Train Loss MSEL:1.991411, Val Loss MSEL:2.042920, Test Loss MSEL:2.024838,
Train Loss mSEL:0.869344, Val Loss mSEL:0.883247, Test Loss mSEL:0.898857,
Train acc:0.461305, Val acc:0.454499, Test acc:0.452299,
Train Loss mape:6.856448, Val Loss mape:6.831791, Test Loss mape:6.539150,

# Epochs:10
Train Loss MSEL:1.981893, Val Loss MSEL:2.008023, Test Loss MSEL:1.990504,
Train Loss mSEL:0.867755, Val Loss mSEL:0.839126, Test Loss mSEL:0.854780,
Train acc:0.463262, Val acc:0.469681, Test acc:0.468345,
Train Loss mape:6.891199, Val Loss mape:7.071396, Test Loss mape:6.764917,

# Epochs:11
Train Loss MSEL:1.986089, Val Loss MSEL:2.032864, Test Loss MSEL:2.017116,
Train Loss mSEL:0.867984, Val Loss mSEL:0.843925, Test Loss mSEL:0.859813,
Train acc:0.463446, Val acc:0.471253, Test acc:0.474861,
Train Loss mape:6.982770, Val Loss mape:7.305968, Test Loss mape:6.996784,

# Epochs:12
Train Loss MSEL:1.975629, Val Loss MSEL:1.999256, Test Loss MSEL:1.980751,
Train Loss mSEL:0.866002, Val Loss mSEL:0.834849, Test Loss mSEL:0.842968,
Train acc:0.465722, Val acc:0.471813, Test acc:0.474246,
Train Loss mape:7.019690, Val Loss mape:7.202866, Test Loss mape:6.893433,

# Epochs:13
Train Loss MSEL:1.972864, Val Loss MSEL:2.022904, Test Loss MSEL:1.990680,
Train Loss mSEL:0.859658, Val Loss mSEL:0.857970, Test Loss mSEL:0.875772,
Train acc:0.466951, Val acc:0.464600, Test acc:0.462025,
Train Loss mape:7.039029, Val Loss mape:7.011461, Test Loss mape:6.712454,

# Epochs:14
Train Loss MSEL:1.977953, Val Loss MSEL:1.990524, Test Loss MSEL:1.970579,
Train Loss mSEL:0.861527, Val Loss mSEL:0.835685, Test Loss mSEL:0.849289,
Train acc:0.467049, Val acc:0.471969, Test acc:0.469431,
Train Loss mape:7.062288, Val Loss mape:7.162477, Test Loss mape:6.858729,

# Epochs:15
Train Loss MSEL:1.968252, Val Loss MSEL:2.006461, Test Loss MSEL:1.979289,
Train Loss mSEL:0.855899, Val Loss mSEL:0.849082, Test Loss mSEL:0.853204,
Train acc:0.467552, Val acc:0.467275, Test acc:0.467500,
Train Loss mape:7.078900, Val Loss mape:7.290983, Test Loss mape:6.864370,

# Epochs:16
Train Loss MSEL:1.965721, Val Loss MSEL:1.992336, Test Loss MSEL:1.967307,
Train Loss mSEL:0.858258, Val Loss mSEL:0.833567, Test Loss mSEL:0.845837,
Train acc:0.470109, Val acc:0.471191, Test acc:0.470062,
Train Loss mape:7.054997, Val Loss mape:7.135571, Test Loss mape:6.868846,

# Epochs:17
Train Loss MSEL:1.966889, Val Loss MSEL:2.006122, Test Loss MSEL:1.967863,
Train Loss mSEL:0.860594, Val Loss mSEL:0.831542, Test Loss mSEL:0.831965,
Train acc:0.468766, Val acc:0.472917, Test acc:0.478113,
Train Loss mape:7.061950, Val Loss mape:7.373289, Test Loss mape:6.932073,

# Epochs:18
Train Loss MSEL:1.964080, Val Loss MSEL:1.995322, Test Loss MSEL:1.969498,
Train Loss mSEL:0.858246, Val Loss mSEL:0.829131, Test Loss mSEL:0.830548,
Train acc:0.469718, Val acc:0.472946, Test acc:0.473466,
Train Loss mape:7.065753, Val Loss mape:7.231127, Test Loss mape:6.923386,

# Epochs:19
Train Loss MSEL:1.971091, Val Loss MSEL:1.995487, Test Loss MSEL:1.963403,
Train Loss mSEL:0.862300, Val Loss mSEL:0.831874, Test Loss mSEL:0.837221,
Train acc:0.469880, Val acc:0.471009, Test acc:0.474532,
Train Loss mape:7.069868, Val Loss mape:7.299909, Test Loss mape:6.860384,

# Epochs:20
Train Loss MSEL:1.965875, Val Loss MSEL:1.993282, Test Loss MSEL:1.966378,
Train Loss mSEL:0.855047, Val Loss mSEL:0.835868, Test Loss mSEL:0.837235,
Train acc:0.469972, Val acc:0.471227, Test acc:0.471555,
Train Loss mape:7.082193, Val Loss mape:7.270813, Test Loss mape:6.881665,

# Epochs:21
Train Loss MSEL:1.965986, Val Loss MSEL:2.000684, Test Loss MSEL:1.966516,
Train Loss mSEL:0.860536, Val Loss mSEL:0.826655, Test Loss mSEL:0.834781,
Train acc:0.470418, Val acc:0.472103, Test acc:0.476112,
Train Loss mape:7.149577, Val Loss mape:7.341438, Test Loss mape:6.951823,

# Epochs:22
Train Loss MSEL:1.970390, Val Loss MSEL:2.005861, Test Loss MSEL:1.968142,
Train Loss mSEL:0.859521, Val Loss mSEL:0.840636, Test Loss mSEL:0.839892,
Train acc:0.468848, Val acc:0.469290, Test acc:0.469546,
Train Loss mape:7.161168, Val Loss mape:7.216347, Test Loss mape:6.779732,

# Epochs:23
Train Loss MSEL:1.964306, Val Loss MSEL:2.029653, Test Loss MSEL:2.016856,
Train Loss mSEL:0.853223, Val Loss mSEL:0.850902, Test Loss mSEL:0.859201,
Train acc:0.470474, Val acc:0.478327, Test acc:0.482140,
Train Loss mape:7.120864, Val Loss mape:7.461886, Test Loss mape:7.145645,

# Epochs:24
Train Loss MSEL:1.965043, Val Loss MSEL:1.998274, Test Loss MSEL:1.965971,
Train Loss mSEL:0.855607, Val Loss mSEL:0.824201, Test Loss mSEL:0.834761,
Train acc:0.470222, Val acc:0.473776, Test acc:0.476715,
Train Loss mape:7.082719, Val Loss mape:7.371239, Test Loss mape:6.920836,

# Epochs:25
Train Loss MSEL:1.966497, Val Loss MSEL:2.004924, Test Loss MSEL:1.974890,
Train Loss mSEL:0.853085, Val Loss mSEL:0.835909, Test Loss mSEL:0.838306,
Train acc:0.471084, Val acc:0.474648, Test acc:0.480425,
Train Loss mape:7.155449, Val Loss mape:7.373666, Test Loss mape:6.970705,

# Epochs:26
Train Loss MSEL:1.963125, Val Loss MSEL:2.030843, Test Loss MSEL:2.001766,
Train Loss mSEL:0.855523, Val Loss mSEL:0.869983, Test Loss mSEL:0.882187,
Train acc:0.471092, Val acc:0.462572, Test acc:0.459957,
Train Loss mape:7.087914, Val Loss mape:7.027954, Test Loss mape:6.725510,

# Epochs:27
Train Loss MSEL:1.963981, Val Loss MSEL:2.040308, Test Loss MSEL:2.007384,
Train Loss mSEL:0.859717, Val Loss mSEL:0.876461, Test Loss mSEL:0.886526,
Train acc:0.469078, Val acc:0.461423, Test acc:0.458660,
Train Loss mape:7.081862, Val Loss mape:7.019404, Test Loss mape:6.763686,

# Epochs:28
Train Loss MSEL:1.964585, Val Loss MSEL:1.982424, Test Loss MSEL:1.959415,
Train Loss mSEL:0.856276, Val Loss mSEL:0.827496, Test Loss mSEL:0.834487,
Train acc:0.469945, Val acc:0.474466, Test acc:0.476283,
Train Loss mape:7.086026, Val Loss mape:7.252425, Test Loss mape:6.855992,

# Epochs:29
Train Loss MSEL:1.964876, Val Loss MSEL:2.003269, Test Loss MSEL:1.974113,
Train Loss mSEL:0.857031, Val Loss mSEL:0.843458, Test Loss mSEL:0.845056,
Train acc:0.470545, Val acc:0.469899, Test acc:0.469464,
Train Loss mape:7.118911, Val Loss mape:7.261909, Test Loss mape:6.911298,

# Epochs:30
Train Loss MSEL:1.960994, Val Loss MSEL:1.994477, Test Loss MSEL:1.961886,
Train Loss mSEL:0.855914, Val Loss mSEL:0.825692, Test Loss mSEL:0.832240,
Train acc:0.470824, Val acc:0.473991, Test acc:0.477366,
Train Loss mape:7.083431, Val Loss mape:7.421690, Test Loss mape:6.926638,

# Epochs:31
Train Loss MSEL:1.965413, Val Loss MSEL:1.990935, Test Loss MSEL:1.966095,
Train Loss mSEL:0.853397, Val Loss mSEL:0.822860, Test Loss mSEL:0.831793,
Train acc:0.468990, Val acc:0.474880, Test acc:0.478152,
Train Loss mape:7.087263, Val Loss mape:7.253224, Test Loss mape:6.988031,

# Epochs:32
Train Loss MSEL:1.964167, Val Loss MSEL:1.994063, Test Loss MSEL:1.957200,
Train Loss mSEL:0.854620, Val Loss mSEL:0.830439, Test Loss mSEL:0.831113,
Train acc:0.470906, Val acc:0.471497, Test acc:0.474465,
Train Loss mape:7.087914, Val Loss mape:7.228095, Test Loss mape:6.829298,

# Epochs:33
Train Loss MSEL:1.964514, Val Loss MSEL:1.990670, Test Loss MSEL:1.963007,
Train Loss mSEL:0.855283, Val Loss mSEL:0.834917, Test Loss mSEL:0.840840,
Train acc:0.469430, Val acc:0.470332, Test acc:0.471187,
Train Loss mape:7.126102, Val Loss mape:7.247261, Test Loss mape:6.933165,

# Epochs:34
Train Loss MSEL:1.960196, Val Loss MSEL:1.990260, Test Loss MSEL:1.963046,
Train Loss mSEL:0.851944, Val Loss mSEL:0.837057, Test Loss mSEL:0.840869,
Train acc:0.470809, Val acc:0.471139, Test acc:0.471479,
Train Loss mape:7.088813, Val Loss mape:7.295551, Test Loss mape:6.894821,

# Epochs:35
Train Loss MSEL:1.960719, Val Loss MSEL:2.007359, Test Loss MSEL:1.975716,
Train Loss mSEL:0.854520, Val Loss mSEL:0.832190, Test Loss mSEL:0.842471,
Train acc:0.469509, Val acc:0.477249, Test acc:0.481388,
Train Loss mape:7.089121, Val Loss mape:7.429361, Test Loss mape:6.979848,

# Epochs:36
Train Loss MSEL:1.959300, Val Loss MSEL:1.990657, Test Loss MSEL:1.967946,
Train Loss mSEL:0.852642, Val Loss mSEL:0.834678, Test Loss mSEL:0.831474,
Train acc:0.470171, Val acc:0.472523, Test acc:0.473390,
Train Loss mape:7.085245, Val Loss mape:7.305419, Test Loss mape:6.910548,

# Epochs:37
Train Loss MSEL:1.958881, Val Loss MSEL:1.994284, Test Loss MSEL:1.967205,
Train Loss mSEL:0.854693, Val Loss mSEL:0.836325, Test Loss mSEL:0.847625,
Train acc:0.470074, Val acc:0.467526, Test acc:0.469933,
Train Loss mape:7.084377, Val Loss mape:7.278679, Test Loss mape:6.759031,

# Epochs:38
Train Loss MSEL:1.954180, Val Loss MSEL:2.001415, Test Loss MSEL:1.972108,
Train Loss mSEL:0.851736, Val Loss mSEL:0.839921, Test Loss mSEL:0.855673,
Train acc:0.469311, Val acc:0.467376, Test acc:0.467514,
Train Loss mape:7.045738, Val Loss mape:7.118950, Test Loss mape:6.816066,

# Epochs:39
Train Loss MSEL:1.957527, Val Loss MSEL:1.982393, Test Loss MSEL:1.961289,
Train Loss mSEL:0.856035, Val Loss mSEL:0.825127, Test Loss mSEL:0.839991,
Train acc:0.470019, Val acc:0.474466, Test acc:0.472734,
Train Loss mape:7.044419, Val Loss mape:7.237915, Test Loss mape:6.891787,

# Epochs:40
Train Loss MSEL:1.954323, Val Loss MSEL:1.987954, Test Loss MSEL:1.970956,
Train Loss mSEL:0.850705, Val Loss mSEL:0.828105, Test Loss mSEL:0.833531,
Train acc:0.471139, Val acc:0.475586, Test acc:0.479252,
