===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  10800
prediction time :  86400
cascade length [5,100]
model save at : ../model_save/topolstm/weibo/
===================configuration===================
# Epochs:0
# Epochs:18
Train Loss MSEL:2.572186, Val Loss MSEL:2.879152, Test Loss MSEL:2.802889,
Train Loss mSEL:0.784058, Val Loss mSEL:0.961900, Test Loss mSEL:0.951053,
Train acc:0.376416, Val acc:0.308134, Test acc:0.308691,
Train Loss mape:27.690207, Val Loss mape:25.510992, Test Loss mape:25.556061,

# Epochs:19
Train Loss MSEL:2.587820, Val Loss MSEL:2.728704, Test Loss MSEL:2.627383,
Train Loss mSEL:0.792809, Val Loss mSEL:0.778402, Test Loss mSEL:0.745548,
Train acc:0.373529, Val acc:0.384303, Test acc:0.394372,
Train Loss mape:27.686865, Val Loss mape:30.630177, Test Loss mape:30.415405,

# Epochs:20
Train Loss MSEL:2.570433, Val Loss MSEL:2.670853, Test Loss MSEL:2.589938,
Train Loss mSEL:0.782378, Val Loss mSEL:0.819934, Test Loss mSEL:0.803947,
Train acc:0.374993, Val acc:0.357154, Test acc:0.367906,
Train Loss mape:27.653065, Val Loss mape:28.177515, Test Loss mape:28.285591,

# Epochs:21
Train Loss MSEL:2.566617, Val Loss MSEL:2.667568, Test Loss MSEL:2.586371,
Train Loss mSEL:0.784753, Val Loss mSEL:0.804964, Test Loss mSEL:0.771946,
Train acc:0.373431, Val acc:0.376555, Test acc:0.386831,
Train Loss mape:27.651354, Val Loss mape:29.528263, Test Loss mape:29.389984,

# Epochs:22
Train Loss MSEL:2.568830, Val Loss MSEL:2.663283, Test Loss MSEL:2.591789,
Train Loss mSEL:0.788768, Val Loss mSEL:0.820940, Test Loss mSEL:0.802561,
Train acc:0.374407, Val acc:0.357787, Test acc:0.369603,
Train Loss mape:27.645813, Val Loss mape:28.369347, Test Loss mape:28.457825,

# Epochs:23
Train Loss MSEL:2.562095, Val Loss MSEL:2.660284, Test Loss MSEL:2.582916,
Train Loss mSEL:0.785938, Val Loss mSEL:0.807404, Test Loss mSEL:0.772849,
Train acc:0.375675, Val acc:0.375669, Test acc:0.386224,
Train Loss mape:27.664482, Val Loss mape:29.379372, Test Loss mape:29.421385,

# Epochs:24
Train Loss MSEL:2.566861, Val Loss MSEL:2.663007, Test Loss MSEL:2.585196,
Train Loss mSEL:0.791144, Val Loss mSEL:0.804091, Test Loss mSEL:0.773250,
Train acc:0.375107, Val acc:0.377030, Test acc:0.387099,
Train Loss mape:27.692694, Val Loss mape:29.426003, Test Loss mape:29.478628,

# Epochs:25
Train Loss MSEL:2.565703, Val Loss MSEL:2.670326, Test Loss MSEL:2.583682,
Train Loss mSEL:0.786183, Val Loss mSEL:0.826980, Test Loss mSEL:0.805114,
Train acc:0.375530, Val acc:0.356582, Test acc:0.366914,
Train Loss mape:27.667215, Val Loss mape:28.380196, Test Loss mape:28.327667,

# Epochs:26
Train Loss MSEL:2.567569, Val Loss MSEL:2.672088, Test Loss MSEL:2.593085,
Train Loss mSEL:0.784460, Val Loss mSEL:0.797559, Test Loss mSEL:0.763729,
Train acc:0.376311, Val acc:0.380182, Test acc:0.389768,
Train Loss mape:27.721128, Val Loss mape:29.721251, Test Loss mape:29.484957,

# Epochs:27
Train Loss MSEL:2.571467, Val Loss MSEL:2.674021, Test Loss MSEL:2.595274,
Train Loss mSEL:0.789441, Val Loss mSEL:0.794646, Test Loss mSEL:0.760827,
Train acc:0.374709, Val acc:0.381988, Test acc:0.391827,
Train Loss mape:27.674263, Val Loss mape:29.862688, Test Loss mape:29.758499,

# Epochs:28
Train Loss MSEL:2.567469, Val Loss MSEL:2.665892, Test Loss MSEL:2.597385,
Train Loss mSEL:0.792747, Val Loss mSEL:0.822460, Test Loss mSEL:0.810616,
Train acc:0.373620, Val acc:0.353380, Test acc:0.363016,
Train Loss mape:27.657621, Val Loss mape:27.964350, Test Loss mape:28.186312,

# Epochs:29
Train Loss MSEL:2.560458, Val Loss MSEL:2.716398, Test Loss MSEL:2.636104,
Train Loss mSEL:0.787262, Val Loss mSEL:0.772674, Test Loss mSEL:0.744567,
Train acc:0.376381, Val acc:0.387190, Test acc:0.398670,
Train Loss mape:27.640280, Val Loss mape:30.568298, Test Loss mape:30.680883,

# Epochs:30
Train Loss MSEL:2.564386, Val Loss MSEL:2.662577, Test Loss MSEL:2.578943,
Train Loss mSEL:0.783419, Val Loss mSEL:0.814579, Test Loss mSEL:0.799666,
Train acc:0.373912, Val acc:0.361119, Test acc:0.373271,
Train Loss mape:27.694715, Val Loss mape:28.713192, Test Loss mape:28.647284,

# Epochs:31
Train Loss MSEL:2.564816, Val Loss MSEL:2.658283, Test Loss MSEL:2.579336,
Train Loss mSEL:0.784219, Val Loss mSEL:0.814741, Test Loss mSEL:0.799579,
Train acc:0.374296, Val acc:0.362539, Test acc:0.373813,
Train Loss mape:27.669088, Val Loss mape:28.727030, Test Loss mape:28.533878,

# Epochs:32
Train Loss MSEL:2.561956, Val Loss MSEL:2.652014, Test Loss MSEL:2.583475,
Train Loss mSEL:0.787621, Val Loss mSEL:0.819733, Test Loss mSEL:0.809211,
Train acc:0.374680, Val acc:0.356432, Test acc:0.367241,
Train Loss mape:27.688086, Val Loss mape:28.138983, Test Loss mape:28.291792,

# Epochs:33
Train Loss MSEL:2.574582, Val Loss MSEL:2.672580, Test Loss MSEL:2.602263,
Train Loss mSEL:0.796427, Val Loss mSEL:0.829643, Test Loss mSEL:0.819275,
Train acc:0.371852, Val acc:0.348743, Test acc:0.360282,
Train Loss mape:27.618345, Val Loss mape:27.809845, Test Loss mape:28.004332,

# Epochs:34
Train Loss MSEL:2.559575, Val Loss MSEL:2.657907, Test Loss MSEL:2.584717,
Train Loss mSEL:0.791337, Val Loss mSEL:0.812663, Test Loss mSEL:0.803534,
Train acc:0.374893, Val acc:0.358650, Test acc:0.370048,
Train Loss mape:27.653028, Val Loss mape:28.478243, Test Loss mape:28.538895,

# Epochs:35
Train Loss MSEL:2.560013, Val Loss MSEL:2.660227, Test Loss MSEL:2.584590,
Train Loss mSEL:0.788855, Val Loss mSEL:0.813979, Test Loss mSEL:0.799105,
Train acc:0.376574, Val acc:0.363753, Test acc:0.373094,
Train Loss mape:27.645132, Val Loss mape:28.675282, Test Loss mape:28.795431,

# Epochs:36
Train Loss MSEL:2.560903, Val Loss MSEL:2.662399, Test Loss MSEL:2.585246,
Train Loss mSEL:0.789337, Val Loss mSEL:0.802861, Test Loss mSEL:0.782221,
Train acc:0.375620, Val acc:0.371724, Test acc:0.382488,
Train Loss mape:27.670044, Val Loss mape:29.286362, Test Loss mape:29.248102,

# Epochs:37
Train Loss MSEL:2.566939, Val Loss MSEL:2.674847, Test Loss MSEL:2.598396,
Train Loss mSEL:0.789871, Val Loss mSEL:0.830129, Test Loss mSEL:0.822012,
Train acc:0.374659, Val acc:0.349032, Test acc:0.360760,
Train Loss mape:27.688013, Val Loss mape:28.230375, Test Loss mape:28.092569,

# Epochs:38
Train Loss MSEL:2.551582, Val Loss MSEL:2.675986, Test Loss MSEL:2.594615,
Train Loss mSEL:0.784558, Val Loss mSEL:0.799128, Test Loss mSEL:0.774539,
Train acc:0.376012, Val acc:0.378355, Test acc:0.387685,
Train Loss mape:27.639013, Val Loss mape:29.697348, Test Loss mape:29.607832,

# Epochs:39
Train Loss MSEL:2.555960, Val Loss MSEL:2.660558, Test Loss MSEL:2.590261,
Train Loss mSEL:0.787088, Val Loss mSEL:0.819265, Test Loss mSEL:0.816256,
Train acc:0.375804, Val acc:0.355622, Test acc:0.367193,
Train Loss mape:27.670345, Val Loss mape:28.303761, Test Loss mape:28.404215,

# Epochs:40
Train Loss MSEL:2.552349, Val Loss MSEL:2.691485, Test Loss MSEL:2.613501,
Train Loss mSEL:0.785653, Val Loss mSEL:0.840606, Test Loss mSEL:0.840476,
Train acc:0.377894, Val acc:0.340406, Test acc:0.353460,
Train Loss mape:27.705942, Val Loss mape:27.465763, Test Loss mape:27.365599,

# Epochs:41
Train Loss MSEL:2.560100, Val Loss MSEL:2.658558, Test Loss MSEL:2.589679,
Train Loss mSEL:0.789936, Val Loss mSEL:0.803974, Test Loss mSEL:0.774944,
Train acc:0.375192, Val acc:0.377843, Test acc:0.385806,
Train Loss mape:27.616703, Val Loss mape:29.387501, Test Loss mape:29.524569,

# Epochs:42
Train Loss MSEL:2.556399, Val Loss MSEL:2.663841, Test Loss MSEL:2.596189,
Train Loss mSEL:0.789620, Val Loss mSEL:0.790764, Test Loss mSEL:0.758638,
Train acc:0.375599, Val acc:0.381478, Test acc:0.393624,
Train Loss mape:27.697496, Val Loss mape:29.687361, Test Loss mape:29.834444,

# Epochs:43
Train Loss MSEL:2.556916, Val Loss MSEL:2.650404, Test Loss MSEL:2.578799,
Train Loss mSEL:0.784175, Val Loss mSEL:0.814897, Test Loss mSEL:0.800329,
Train acc:0.376590, Val acc:0.365706, Test acc:0.375931,
Train Loss mape:27.640957, Val Loss mape:28.599026, Test Loss mape:28.654642,

# Epochs:44
Train Loss MSEL:2.551397, Val Loss MSEL:2.658846, Test Loss MSEL:2.581181,
Train Loss mSEL:0.782221, Val Loss mSEL:0.813011, Test Loss mSEL:0.795330,
Train acc:0.378629, Val acc:0.367043, Test acc:0.376146,
Train Loss mape:27.674046, Val Loss mape:28.652767, Test Loss mape:28.839914,

# Epochs:45
Train Loss MSEL:2.555362, Val Loss MSEL:2.659290, Test Loss MSEL:2.585850,
Train Loss mSEL:0.788245, Val Loss mSEL:0.795697, Test Loss mSEL:0.762867,
Train acc:0.375266, Val acc:0.382963, Test acc:0.392434,
Train Loss mape:27.630056, Val Loss mape:29.621521, Test Loss mape:29.650223,

# Epochs:46
Train Loss MSEL:2.554021, Val Loss MSEL:2.656920, Test Loss MSEL:2.579873,
Train Loss mSEL:0.788288, Val Loss mSEL:0.820953, Test Loss mSEL:0.804697,
Train acc:0.377206, Val acc:0.362053, Test acc:0.373306,
Train Loss mape:27.680319, Val Loss mape:28.497318, Test Loss mape:28.646368,

# Epochs:47
Train Loss MSEL:2.552576, Val Loss MSEL:2.661363, Test Loss MSEL:2.583090,
Train Loss mSEL:0.785854, Val Loss mSEL:0.798055, Test Loss mSEL:0.762252,
Train acc:0.377177, Val acc:0.382347, Test acc:0.392213,
Train Loss mape:27.627193, Val Loss mape:29.599426, Test Loss mape:29.663616,

# Epochs:48
Train Loss MSEL:2.559135, Val Loss MSEL:2.675380, Test Loss MSEL:2.589025,
Train Loss mSEL:0.792303, Val Loss mSEL:0.822710, Test Loss mSEL:0.818178,
Train acc:0.374963, Val acc:0.351339, Test acc:0.364474,
Train Loss mape:27.638962, Val Loss mape:27.985619, Test Loss mape:28.002729,

# Epochs:49
Train Loss MSEL:2.550776, Val Loss MSEL:2.663973, Test Loss MSEL:2.572778,
Train Loss mSEL:0.781732, Val Loss mSEL:0.812019, Test Loss mSEL:0.787752,
Train acc:0.377103, Val acc:0.371394, Test acc:0.379805,
Train Loss mape:27.678686, Val Loss mape:29.189325, Test Loss mape:29.029701,

# BEST, Val Loss MSEL:2.650404, Test Loss MSEL:2.572778,
