===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  10800
prediction time :  86400
cascade length [5,1000]
model save at : ../model_save/topolstm/weibo/
===================configuration===================
# Epochs:0
Train Loss MSEL:9.296127, Val Loss MSEL:6.932783, Test Loss MSEL:7.012398,
Train Loss mSEL:5.047382, Val Loss mSEL:3.931283, Test Loss mSEL:3.917803,
Train acc:0.045374, Val acc:0.074766, Test acc:0.074817,
Train Loss mape:12.718283, Val Loss mape:13.497098, Test Loss mape:14.467952,

# Epochs:1
Train Loss MSEL:6.073639, Val Loss MSEL:5.378676, Test Loss MSEL:5.449334,
Train Loss mSEL:3.064714, Val Loss mSEL:2.637959, Test Loss mSEL:2.684531,
Train acc:0.086785, Val acc:0.104121, Test acc:0.107307,
Train Loss mape:17.370520, Val Loss mape:17.469126, Test Loss mape:18.806301,

# Epochs:2
Train Loss MSEL:4.902965, Val Loss MSEL:4.540005, Test Loss MSEL:4.582526,
Train Loss mSEL:2.412907, Val Loss mSEL:2.281192, Test Loss mSEL:2.333679,
Train acc:0.155260, Val acc:0.171113, Test acc:0.171632,
Train Loss mape:20.649200, Val Loss mape:19.914942, Test Loss mape:21.291300,

# Epochs:3
Train Loss MSEL:4.180149, Val Loss MSEL:3.941389, Test Loss MSEL:4.013877,
Train Loss mSEL:1.713797, Val Loss mSEL:1.579135, Test Loss mSEL:1.601619,
Train acc:0.205320, Val acc:0.218691, Test acc:0.225411,
Train Loss mape:22.901119, Val Loss mape:22.597996, Test Loss mape:24.099962,

# Epochs:4
Train Loss MSEL:3.860164, Val Loss MSEL:3.668839, Test Loss MSEL:3.746344,
Train Loss mSEL:1.541927, Val Loss mSEL:1.595680, Test Loss mSEL:1.637418,
Train acc:0.263842, Val acc:0.275215, Test acc:0.274221,
Train Loss mape:24.647335, Val Loss mape:23.518696, Test Loss mape:25.009800,

# Epochs:5
Train Loss MSEL:3.605498, Val Loss MSEL:3.503220, Test Loss MSEL:3.628295,
Train Loss mSEL:1.342558, Val Loss mSEL:1.137434, Test Loss mSEL:1.136607,
Train acc:0.286385, Val acc:0.303887, Test acc:0.304580,
Train Loss mape:26.130016, Val Loss mape:26.050421, Test Loss mape:27.531597,

# Epochs:6
Train Loss MSEL:3.496487, Val Loss MSEL:3.405250, Test Loss MSEL:3.505795,
