===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  3600
prediction time :  86400
cascade length [5,100]
model save at : ../model_save/topolstm/weibo/
===================configuration===================
# Epochs:0
Train Loss MSEL:7.030331, Val Loss MSEL:5.978031, Test Loss MSEL:5.839362,
Train Loss mSEL:3.871712, Val Loss mSEL:3.124864, Test Loss mSEL:3.093922,
Train acc:0.134971, Val acc:0.168405, Test acc:0.159395,
Train Loss mape:16.518332, Val Loss mape:17.909769, Test Loss mape:16.013479,

# Epochs:1
Train Loss MSEL:5.459418, Val Loss MSEL:5.120051, Test Loss MSEL:4.926104,
Train Loss mSEL:2.689600, Val Loss mSEL:2.383893, Test Loss mSEL:2.363744,
Train acc:0.183160, Val acc:0.198178, Test acc:0.197138,
Train Loss mape:17.695896, Val Loss mape:18.177971, Test Loss mape:15.807906,

# Epochs:2
Train Loss MSEL:4.607305, Val Loss MSEL:4.338934, Test Loss MSEL:4.133830,
Train Loss mSEL:1.912104, Val Loss mSEL:1.696461, Test Loss mSEL:1.691578,
Train acc:0.236377, Val acc:0.252912, Test acc:0.259894,
Train Loss mape:18.092171, Val Loss mape:18.693237, Test Loss mape:16.248100,

# Epochs:3
Train Loss MSEL:3.966469, Val Loss MSEL:3.848374, Test Loss MSEL:3.603949,
Train Loss mSEL:1.391290, Val Loss mSEL:1.256014, Test Loss mSEL:1.244268,
Train acc:0.310165, Val acc:0.324556, Test acc:0.333769,
Train Loss mape:18.370258, Val Loss mape:19.358229, Test Loss mape:16.438568,

# Epochs:4
Train Loss MSEL:3.502493, Val Loss MSEL:3.495879, Test Loss MSEL:3.383640,
Train Loss mSEL:1.044394, Val Loss mSEL:0.856346, Test Loss mSEL:0.851304,
Train acc:0.380514, Val acc:0.444470, Test acc:0.442371,
Train Loss mape:18.636896, Val Loss mape:21.282907, Test Loss mape:18.723360,

# Epochs:5
Train Loss MSEL:3.203194, Val Loss MSEL:3.218006, Test Loss MSEL:2.993762,
Train Loss mSEL:0.838274, Val Loss mSEL:0.870500, Test Loss mSEL:0.835507,
Train acc:0.436337, Val acc:0.431007, Test acc:0.437023,
