===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  3600
prediction time :  86400
cascade length [5,1000]
model save at : ../model_save/topolstm/weibo/
===================configuration===================
# Epochs:0
Train Loss MSEL:13.193427, Val Loss MSEL:10.352199, Test Loss MSEL:10.421800,
Train Loss mSEL:8.726706, Val Loss mSEL:7.143447, Test Loss mSEL:7.271103,
Train acc:0.030411, Val acc:0.031958, Test acc:0.030758,
Train Loss mape:10.004688, Val Loss mape:11.365808, Test Loss mape:10.809101,

# Epochs:1
Train Loss MSEL:8.891483, Val Loss MSEL:7.701572, Test Loss MSEL:8.106612,
Train Loss mSEL:5.251420, Val Loss mSEL:3.780625, Test Loss mSEL:3.767087,
Train acc:0.063986, Val acc:0.113170, Test acc:0.110735,
Train Loss mape:12.676770, Val Loss mape:16.746035, Test Loss mape:15.908894,

# Epochs:2
Train Loss MSEL:6.722261, Val Loss MSEL:7.674479, Test Loss MSEL:8.214475,
Train Loss mSEL:3.547740, Val Loss mSEL:2.106475, Test Loss mSEL:2.118079,
Train acc:0.144244, Val acc:0.244822, Test acc:0.253721,
Train Loss mape:14.364791, Val Loss mape:19.986773, Test Loss mape:18.940821,

# Epochs:3
Train Loss MSEL:5.771729, Val Loss MSEL:4.913679, Test Loss MSEL:4.931267,
Train Loss mSEL:2.462368, Val Loss mSEL:2.051781, Test Loss mSEL:2.087962,
Train acc:0.226682, Val acc:0.275961, Test acc:0.275753,
Train Loss mape:15.559844, Val Loss mape:18.149134, Test Loss mape:16.627779,

# Epochs:4
Train Loss MSEL:4.649837, Val Loss MSEL:4.514788, Test Loss MSEL:4.580609,
Train Loss mSEL:1.753165, Val Loss mSEL:1.374817, Test Loss mSEL:1.351879,
Train acc:0.296923, Val acc:0.359380, Test acc:0.355997,
Train Loss mape:16.721369, Val Loss mape:20.561638, Test Loss mape:19.016783,

# Epochs:5
Train Loss MSEL:4.182423, Val Loss MSEL:4.060697, Test Loss MSEL:4.062508,
Train Loss mSEL:1.384181, Val Loss mSEL:1.422169, Test Loss mSEL:1.423257,
Train acc:0.345883, Val acc:0.344206, Test acc:0.337651,
Train Loss mape:17.702616, Val Loss mape:19.933956, Test Loss mape:18.152266,

# Epochs:6
Train Loss MSEL:3.910497, Val Loss MSEL:4.048374, Test Loss MSEL:3.963002,
Train Loss mSEL:1.234794, Val Loss mSEL:1.429389, Test Loss mSEL:1.378934,
Train acc:0.363761, Val acc:0.344226, Test acc:0.341601,
Train Loss mape:18.210339, Val Loss mape:20.025425, Test Loss mape:17.978449,

# Epochs:7
Train Loss MSEL:3.810663, Val Loss MSEL:3.783961, Test Loss MSEL:3.766730,
Train Loss mSEL:1.214392, Val Loss mSEL:1.237253, Test Loss mSEL:1.132946,
Train acc:0.375671, Val acc:0.386835, Test acc:0.387179,
Train Loss mape:19.781128, Val Loss mape:21.709503, Test Loss mape:19.639761,

# Epochs:8
Train Loss MSEL:3.679501, Val Loss MSEL:3.710198, Test Loss MSEL:3.686745,
Train Loss mSEL:1.172335, Val Loss mSEL:1.163608, Test Loss mSEL:1.100795,
Train acc:0.388995, Val acc:0.393478, Test acc:0.394589,
Train Loss mape:19.083378, Val Loss mape:22.035589, Test Loss mape:19.945566,

# Epochs:9
Train Loss MSEL:3.584905, Val Loss MSEL:3.653885, Test Loss MSEL:3.609148,
Train Loss mSEL:1.163333, Val Loss mSEL:1.206885, Test Loss mSEL:1.166679,
Train acc:0.388732, Val acc:0.390285, Test acc:0.395103,
Train Loss mape:19.349888, Val Loss mape:22.091366, Test Loss mape:19.970018,

# Epochs:10
Train Loss MSEL:3.602717, Val Loss MSEL:3.633424, Test Loss MSEL:3.576589,
Train Loss mSEL:1.211974, Val Loss mSEL:1.279176, Test Loss mSEL:1.250323,
Train acc:0.397143, Val acc:0.385161, Test acc:0.391398,
Train Loss mape:19.600969, Val Loss mape:22.143160, Test Loss mape:19.884134,

# Epochs:11
Train Loss MSEL:3.557663, Val Loss MSEL:3.622328, Test Loss MSEL:3.585445,
Train Loss mSEL:1.240944, Val Loss mSEL:1.229287, Test Loss mSEL:1.173446,
Train acc:0.402416, Val acc:0.405017, Test acc:0.413117,
Train Loss mape:19.755970, Val Loss mape:22.887918, Test Loss mape:20.572273,

# Epochs:12
Train Loss MSEL:3.517661, Val Loss MSEL:3.615783, Test Loss MSEL:3.600663,
Train Loss mSEL:1.223868, Val Loss mSEL:1.174441, Test Loss mSEL:1.145474,
Train acc:0.401888, Val acc:0.406032, Test acc:0.412313,
Train Loss mape:19.853746, Val Loss mape:23.093433, Test Loss mape:20.925982,

# Epochs:13
Train Loss MSEL:3.528401, Val Loss MSEL:3.595931, Test Loss MSEL:3.536767,
Train Loss mSEL:1.213736, Val Loss mSEL:1.276158, Test Loss mSEL:1.222059,
Train acc:0.398773, Val acc:0.386316, Test acc:0.396331,
Train Loss mape:19.916410, Val Loss mape:22.640858, Test Loss mape:20.418564,

# Epochs:14
Train Loss MSEL:3.500361, Val Loss MSEL:3.616386, Test Loss MSEL:3.585870,
Train Loss mSEL:1.201570, Val Loss mSEL:1.193123, Test Loss mSEL:1.182559,
Train acc:0.400019, Val acc:0.404872, Test acc:0.409657,
Train Loss mape:19.970140, Val Loss mape:23.196287, Test Loss mape:20.878426,

# Epochs:15
Train Loss MSEL:3.561141, Val Loss MSEL:3.592861, Test Loss MSEL:3.552172,
Train Loss mSEL:1.207072, Val Loss mSEL:1.234199, Test Loss mSEL:1.216817,
Train acc:0.402512, Val acc:0.396336, Test acc:0.402067,
Train Loss mape:20.080660, Val Loss mape:22.805878, Test Loss mape:20.714470,

# Epochs:16
Train Loss MSEL:3.488358, Val Loss MSEL:3.631972, Test Loss MSEL:3.618174,
Train Loss mSEL:1.212263, Val Loss mSEL:1.193935, Test Loss mSEL:1.195892,
Train acc:0.406178, Val acc:0.416620, Test acc:0.418094,
Train Loss mape:20.147490, Val Loss mape:23.380907, Test Loss mape:21.128571,

# Epochs:17
Train Loss MSEL:3.538646, Val Loss MSEL:3.606363, Test Loss MSEL:3.558745,
